video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified
7343758155492642053,2024-03-07T17:52:23,185.0,RW,,32.0,0.0,0.0,387.0,AMASHUSHO: I Berlin mu Budage hashojwe Imurika mpuzamahanga ry’ubukerarugendo ITB 2024 ryitabiriwe n’ibigo 21 byaturutse mu Rwanda.,False,,igihe,IGIHE,,,,,,False
7338082342872861970,2024-02-21T14:35:00,34.0,QA,,26300.0,1383.0,433.0,1000000.0,“بنتي أكلت إيديها من قلة الأكل” تحدثت هذه السيدة الفلسطينية عن سوء الأوضاع المعيشية جراء الحرب الإسرائيلية على قطاع غزة. #فيديو #أم #بنت #حرب_غزة #سيدة #غزة  #شمال_غزة,False,,aljazeera,الجزيرة,,,,,,True
7322961317084663082,2024-01-11T16:50:11,70.0,US,"jayllnn, buldak ramen noodles, noodles, realjayllnn kiss, ramen noodles, buldak noodles, jayllnn kiss, spicy noodles, Food Videos, Cooking Noodles",698300.0,6955.0,6421.0,20100000.0,#noodles ,False,,realjayllnn,JAYLLNN,,,,,,True
7334951174124080430,2024-02-13T00:17:22,7.0,US,esterbron,27900.0,314.0,413.0,226400.0,,False,,esterbron1,Esterbron,,,,,,False
7340746208555683078,2024-02-28T15:04:29,9.0,CA,"twins, Twins Of TikTok, Two Twins, Lululemon, Lululemon Creator, Parchis, lululemon shoes",26000.0,153.0,381.0,147500.0,Tag someone to do this dance with in the comments🩷🩷 #fyp #pardiss #takemetolax #twins #pariya #twinsoftiktok #lululemoncreator #lululemon ,False,,takemetolax,ocean helicopter rescue,,,,,,False
7327002161089400106,2024-01-22T14:11:10,13.0,US,"stop recording me, stop attacking me, stop recording me prank, can you record me, can you record me real quick, Hound Dog, stop attacking me meme, stop recording me original, you ain't nothing but a hound dog, can you record this for me",3800000.0,79000.0,20400.0,25600000.0,"If Grama Sandy comes up to you in a store and asks you to record her, would you do it? 😏🤣 #fyp #sandybepsycho #recordme #strangers #viraltiktok #noshame #happymonday #february22nd ",False,,sandybepsycho,Grama Sandy,,,,,,False
7320741405444312362,2024-01-05T17:15:53,15.0,US,"chel cosplay, Chel The Road To El Dorado, Chel Edits, The Road To El Dorado, bell disney, chel the road to el dorado cosplay, Chel And Tulio Kiss, Chel from The Road to El Dorado, Disney Edits, Chel Michael Myer",428500.0,3998.0,3559.0,2600000.0,Im hearing everyone out || @Rat || ac mp3 server || dt @max || #theroadtoeldorado #chel #pixar #disney #cheledit #viral #edit #blowthisupp #dontletthisflop #quizkaii #foryourpage #fyp ,False,,quizkai,Wuizzy,,,,,,False
7317385407660936453,2023-12-27T16:12:44,9.0,PE,,13200.0,85.0,125.0,110300.0,👀 #fyp #viraltiktok #paratiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii #trend #viralvideo #tiktok #viral #trending #parati ,False,,fabi23.0a,🍒𝔉𝔞𝔟𝔦🍒,,,,,,False
7311859359896620331,2023-12-12T18:48:48,16.0,US,"cfn cabbage, Laffy Taffy, cfn kasai, bigcabbage56, cfn cabbage travis hunter, using car window as mirror, mirror car, mirrors, Interior Mirrors, big laffy taffy",971800.0,10600.0,4268.0,5300000.0,Im just trying to see if my  face clean😂 #fyp #xybca #cfn #mammoo #thatoneperson ,False,,bigcabbage56,CFN Cabbage,,,,,,False
7312572200668794158,2023-12-14T16:55:02,15.0,US,"Zoe Ebarb Throwing It, zoe ebarb, Mulheres Dançando, zoe ebarb compilation, Zoe",129000.0,768.0,696.0,699900.0,Dc @emiliexpirez !!!!,False,,zoe.ebarb,Zoe🐸,,,,,,False
7315878397568191787,2023-12-23T14:44:48,26.0,US,"lucid dreams, i still see your shadows, Hey There Delilah, lucid dreams juice wrld, i still see your shadows in my room, juice wrld, Lucid Dreams Lyrics, Juice WRLD Songs, i still see a shadow in my room, hey there delilah juice wrld",4100000.0,77500.0,20000.0,29600000.0,shoutout my lil bro 🙎🏻‍♂️ for recording this in the middle of the night 🌙 #juicewrld #luciddreams #fypシ゚viral ,False,,whyk4re,ykare,,,,,,False
7315475901322431776,1969-12-31T19:00:00,,,,,,,,,False,,,,,,,,,False
7325112446040018218,2024-01-17T11:57:40,24,US,"Euphoria Scenes, i promise maddy i'll change, Maddy Euphoria, coffee co bendigo, Euphoria, Cassie And Nate, euphoria dialogue, euphoria iconic lines, Maddy And Nate, maddy perez",179500,694,224,1500000,euphoria szn 2 feels like it was just yesterday 🥲 #euphoria ,False,,mikaelarellano,Mikael Arellano,,,,,,False
7332455533682724138,2024-02-06T06:54:09,14,US,"mia dio, my rich husband, dating, Marriage, Rich, Married Life, Getting Married, Marry My Husband, mia dio husband, my billionaire husband",323100,2125,2874,4100000,Of course I just married him for the money #fyp #dating #husband #rich ,False,,miadio,Mia Dio,,,,,,True
7322938185699413291,2024-01-11T15:20:31,32,US,"stroke encouragement, sophiie.xdt02, red lights green light stroke game, red lights green light stroke, stroke for me, stroke encouragement up down, encouragement, green light red lights, joii, red and green light makeup",79400,1608,806,1300000,,False,,sophiie.xdt02,IG: sophiexdtprivate,,,,,,False
7330889502996581675,2024-02-02T01:35:39,9,US,"aisha, Hakari From Jjk, always bet on hakari, hakari in jjk anime, Hakari And Kashimo, hakari pulling up, Hakari Theme Song, black hakari, Hakari Vs Kashimo JJK, hakari vs uraume",262700,1937,773,1300000,Hakari version 😤,False,,kawaiisofey,aishah sofey <3,,,,,,False
7319866057638808838,2024-01-03T08:38:50,24,PY,,7536,116,192,200500,🥺🕷️#migueljara #parati #viral #nancyfaria ,False,,nancyfaria5,Nancy Faria 🇵🇾🦋📐,,,,,,False
7310081502975364370,2023-12-07T23:49:44,11,AU,"larissatrofino26, Viral Sounds, sounds on trending, trending sounds on tiktok now, Vibrations Sound, Boom Sound",39000,103,206,253900,This sound 😮‍💨 #fyp#foryou#viral ,False,,larissatrofino26,Larissa Trofino 💋,,,,,,False
7314759805292350763,2023-12-20T14:24:03,8,US,,253600,2688,2757,1800000,getting reasy for gym ,False,,emmalanyi,ms. bigbottom,,,,,,False
7324884751360314666,2024-01-16T21:14:19,38,US,"Middle Child, middle sibling, im the middle child, i'm the middle sibling, middle child syndrome, i'm the oldest child, i'm the middle sibling cut off, im the oldest sibling, i'm the middle child of course, sibling anthem check",3500000,96800,30700,22400000,live laugh love,False,,ina.katherine,ina,,,,,,False
7319299412516179243,2024-01-01T20:00:21,9,US,"mirandahshaul, miranda marie, igmirandahhmarie",422200,7392,2124,3500000,#igmirandahhmarie ,False,,mirandahshaul,Mimi,,,,,,False
7312531368125222176,2023-12-14T14:16:30,9,DE,"damn i kinda miss him, i should call him, damn i kinda miss him white cream, i kinda miss him, damn i kinda miss her trend, damn i kinda miss him cream, I Miss Him, missing someone, damn i kinda miss him white, damn i kinda miss him milk",1100000,84800,16000,10200000,,False,,facebookmutti,lea kuehl❦,,,,,,False
7302415167613160710,2023-11-17T08:00:27,21,AU,,9868,8890,4813,118300,#ethiopian_tik_tok #vairal ,False,,kiyaa909,kiyaa Dimple,,,,,,False
7310000101747936555,2023-12-07T18:33:58,9,US,"remote controlled in public girlfriend prank, remote controlled in public, remote controlled in public girlfriend, what is it finna play .. woahhhh, keeping date nights interesting, remote controlled in public girlfriend prank date, remote controlled in public girlfriend date, remote controlled underwater, finna play, what's it finna play",2500000,133200,22400,19400000,glad i “came” on this date 👀,False,,krissymfkummins,Krissy Kummins,,,,,,False
7302911858040786219,2023-11-18T16:08:08,7,US,"How To Clean Ears, bobby pin, bobby pin in ear, how to clean ears correctly bobby pin, cleaning ear with bobby pin, how to clean ears with bobby pin, cleaning ear wax, q tip in ear, how to properly clean your ears, q tips",284300,166,622,1900000,Everything be sounding muffled for days 😭 #fypシ #relatable #trending #aylecia #blowthisup #viral #qtips ,False,,leci.bby,I own your fyp,,,,,,False
7312626714775932190,2023-12-14T20:26:40,7,US,,147500,870,3916,1500000,guess the last 4 digits of my phone # ☎️ @Gavin Magnus ,False,,lovealwayspiper,Piper,,,,,,False
7318722296863149345,2023-12-31T06:40:36,16,DE,,522300,23900,3032,9400000,Da muss SIE doch dran denken😱😂!!! #viral #fürdich #foryou #foryoupage #fy #fyp #funnyvideos #couplecomedy #comdey ,False,,marie_tammo,𝐌𝐚𝐫𝐢𝐞 & 𝐓𝐚𝐦𝐦𝐨,,,,,,False
7335885936724692266,2024-02-15T12:45:09,9,US,"Megatron Family Guy, parents aren't home you know what, Mainecoon Cat, kitties, Kitten Videos, Pet Cat, pets, Cats Of TikTok, small cat, Kittens Of TikTok",12100000,113100,26700,66400000,Hes just a kitten but thats my dawg ,False,,kyle.christie,Kyle Christie,,,,,,False
7338069156064988458,2024-02-21T09:57:03,36,US,"Car Air Freshener, Car Freshener, Car Freshener Scent, Car Products, Car Scents, Stuff For Car, Car Gadget, Car Refresher Perfume, Car Fragrance, Car Care",33300,3107,148,2100000,"If you often smoke in the car, you really need this car air fresheners#airfreshener #carfreshener #smellgood #scent  #fyp#tiktokshopusa #car #foryou ",True,,chidsj,Decsteamboy us,,,,,,False
7331930122397797675,2024-02-04T20:53:59,48,US,"car accessories, car charger, retractable car charger, 4 in 1 car charger, TikTok Shop, tiktok store shop, 4 in 1 retractable charger, bluetooth car adapter, portable charger, Charger",1200000,37800,8297,35800000,Replying to @DK BOSE this car charger soothes my OCD 😮‍💨 #tiktokshop #gadgets #caraccessories #tiktokdeals #phoneaccessories ,False,,insaneshopfinds,Insane TikTok Shop Deals 🎁,,,,,,False
7304812867675491626,2023-11-23T19:04:52,98,US,"Halara Leggings, halara, Halara Pants, Leggings, halara joggers, halara_official, Halara Clothing, leggings of TikTok, Leggins Outfit, Black Leggings",344400,8355,2864,18000000,When i showed these to my husband he said and i quote “oh great how much money are you going to spend on buying more of these?” #halara #halaraleggins #obsessed #tummycontrol #need #foryou #trending #trends  ,True,,alexisjohnson1019,Alexis Johnson,,,,,,False
