,video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,hashtags
144,7285749180025408811,2023-10-03T14:30:00,41.0,US,"['bogo sort', ' Bubble Sort', ' sorting algorithms', ' merge sort', ' rand sort', ' Fastest Sort Algorithm', ' sort algorithm', ' bogo sort success', ' best sorting algorithm', ' quick sort']",740300.0,18800.0,4338.0,10400000.0,#quicksort #mergesort #sorting #algorithms #visualization #learnontiktok,False,,sort_everything176,sort_vizual,,,,,,False,"['quicksort', 'mergesort', 'sorting', 'algorithms', 'visualization', 'learnontiktok']"
183,7280588242024402218,2023-09-19T13:22:27,62.0,US,[],397600.0,393700.0,33900.0,11700000.0,Facts that could save your life‼️ | Part 11 | Watch till the end. #curiosity  #randomfacts  #learnontiktok  #factsyoudidntknow  #facts  #saveyourlife,False,,factsfromnez,Nez,,,,,,False,"['curiosity', 'randomfacts', 'learnontiktok', 'factsyoudidntknow', 'facts', 'saveyourlife']"
247,7282169818021645610,2023-09-23T19:38:12,205.0,US,[],565800.0,2801.0,3842.0,8200000.0,#fypシ #cops #foryou #cps #fyp #911 #police #new #tiktok ,False,,jeam5389,CRAZY COPS,,,,,,False,"['fypシ', 'cops', 'foryou', 'cps', 'fyp', '911', 'police', 'new', 'tiktok']"
252,7284389787144916270,2023-09-29T19:13:46,103.0,US,[],1300000.0,299500.0,91100.0,12500000.0,"Video shows the events leading up to the shooting of a YouTube prankster inside Dulles Town Center. Alan Colie was acquitted of aggravated malicious wounding in the shooting of Tanner Cook, 21, who runs the “Classified Goons” YouTube channel. Colie's lawyers said he acted in self-defense. #DC #WashingtonDC #DistrictofColumbia #DMVnews #Maryland #Virginia #pranks #ClassifiedGoons #NoVaVirginia #NoVanews",False,,nbcwashington,NBC Washington,,,,,,True,"['dc', 'washingtondc', 'districtofcolumbia', 'dmvnews', 'maryland', 'virginia', 'pranks', 'classifiedgoons', 'novavirginia', 'novanews']"
493,7281629597169405226,2023-09-22T08:41:53,132.0,US,[],98700.0,3097.0,992.0,1100000.0,Conway is amazing #math #learnontiktok #stem #science #mathteacher ,False,,average_joe_mcc,Average Joe,,,,,,False,"['math', 'learnontiktok', 'stem', 'science', 'mathteacher']"
524,7281705059778383147,2023-09-22T13:34:48,34.0,US,"['bedford high school', ' bedford high school trading cards', ' bedford high school trading cards story', ' new hampshire trading cards', ' bedford high school new hampshire', ' school trading cards', ' Trading Cards', ' bedford trading cards', ' new hampshire', ' high school trading cards']",410800.0,67400.0,9383.0,3500000.0,"Disciplinary action is still being discussed, according to school officials, and could include inside or outside suspensions as well as suspension from athletic activities. Full story at nbcboston.com.  #newhampshire #school #news #video #fyp ",False,,nbc10boston,NBC10 Boston,,,,,,True,"['newhampshire', 'school', 'news', 'video', 'fyp']"
