,video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,hashtags
8758,7319372703260020011,2024-01-02T00:44:49,12.0,US,"['andrei iosivas', ' Andrei Iosivas Girlfriend', ' Andrei Iosivas Edit', ' joe burrow', ' yoshi bengals', ' Sam Hartman', ' Bengals', ' yoshi girlfriend', ' Andrei Iosivas Highlights', ' Footballers']",190700.0,1930.0,839.0,1200000.0,He is so fine for no reason #yoshi #fyp #hunk #yum #footballmen #football #cincinnatibengals #andreiiosivasisbae #andreiiosivasismyman #greenscreen,False,,_dreacr2.0,drea,,,,,,False,"['yoshi', 'fyp', 'hunk', 'yum', 'footballmen', 'football', 'cincinnatibengals', 'andreiiosivasisbae', 'andreiiosivasismyman', 'greenscreen']"
8764,7319643393234177323,2024-01-02T18:15:03,120.0,US,"['twins', ' twins born on different days', ' Twins Of TikTok', ' Two Twins', ' Quaternary Twins', ' Identical Twins', ' New Year Celebration', ' new year', ' Twins In The Wombs', ' Twins Filter']",745700.0,19100.0,3392.0,5300000.0,"New Year's twins born on different days and different years, the parents react #fox29 ",False,,fox29philadelphia,FOX 29 Philadelphia,,,,,,True,['fox29']
8833,7319703577725799726,2024-01-02T22:08:44,11.0,US,"['Ja Morant', ' ja dunks on wemby', ' ja dunking on victor', ' ja morant dunks', ' Nba', ' victor wenbanyama', ' ja dunks', ' wemby dunk', ' ja morant dunks wembayama', ' Basketball NBA']",302200.0,8351.0,4121.0,3300000.0,Ja was HYPED after that dunk 🔥 #nba #basketball #grizzlies #jamorant #victorwembanyama #dunk ,False,,espn,ESPN,,,,,,True,"['nba', 'basketball', 'grizzlies', 'jamorant', 'victorwembanyama', 'dunk']"
8884,7319525382498143534,2024-01-02T11:05:00,40.0,US,[],34900.0,60.0,57.0,560800.0,"during the #thrroundtable for songwriters, #billieeilish explains ""everything we feel, somebody knows""",False,,hollywoodreporter,The Hollywood Reporter,,,,,,True,"['thrroundtable', 'billieeilish']"
8931,7319174336990956843,2024-01-01T11:55:01,64.0,US,"['Derwin James', ' Derwin James Travis Kelce', ' kyle hamilton', ' travis kelce', ' travis kelce slammed', ' derwin james travis kelce taylor swift', ' derwin james edit', ' kyle hamilton edit', ' kelce body slam', ' football edit']",2000000.0,18200.0,13800.0,18500000.0,Is Derwin James the BEST Safety in the NFL right now 🤔⁉️ || #fyp #foryou #foryoupage #football #viral #derwinjames ,False,,notflockrams,notflockrams,,,,,,False,"['fyp', 'foryou', 'foryoupage', 'football', 'viral', 'derwinjames']"
8935,7319354545233022238,2024-01-01T23:34:26,25.0,US,"['Jordan Clarkson', ' jordan clarkson triple double', ' jordan clarkson kobe', ' what is a triple double', ' Basketball NBA', ' Basketball Players', ' Basketball Videos', ' Basketball TikTok', ' NBA', ' Sports NBA']",97600.0,187.0,298.0,1300000.0,Jordan Clarkson only needed 1 more rebound for a triple double.. and he ended up getting it 😂🔥 #nba #nbabasketball #basketball ,False,,bleacherreport,bleacherreport,,,,,,True,"['nba', 'nbabasketball', 'basketball']"
8953,7307757775944224031,2023-12-01T17:32:39,72.0,US,[],33400.0,141.0,216.0,549600.0,The Chiefs weighed in on the CFB Playoff picture 🗣️ (via @Chiefs) #cfbplayoff #nfl #football #chiefs ,False,,bleacherreport,bleacherreport,,,,,,True,"['cfbplayoff', 'nfl', 'football', 'chiefs']"
8982,7315427044391718187,2023-12-22T09:33:22,41.0,US,[],50500.0,124.0,146.0,491700.0,Giannis' son knows all the #basketball moves 🤩 #NBA #Giannis #Bucks #family,False,,espn,ESPN,,,,,,True,"['basketball', 'nba', 'giannis', 'bucks', 'family']"
9014,7240462576449080618,2023-06-03T10:13:08,15.0,US,"['meadow walker', ' Paul Walker', ' paul walker daughter', ' meadow walker and paul walker', ' meadow walker mother', ' paul walker and his daughter', ' Fast And Furious Paul Walker', ' meadow walker dad', ' meadow walker reaction to her dad', ' Fast & Furious']",796600.0,11100.0,2114.0,6500000.0,His reaction when he seen her is too heartwarming ❤️ (via meadowwalker/IG) #paulwalker #fastandfurious ,False,,espn,ESPN,,,,,,True,"['paulwalker', 'fastandfurious']"
9022,7315405523514346798,2023-12-22T08:09:58,8.0,US,[],29500.0,3021.0,502.0,273000.0,#Meme #MemeCut #fyp #eagles #sports #football #espn #footballtiktok #philadelphiaeagles #philadelphia #flyeaglesfly #trendingvideo #nflfootball #reels #shorts ,False,,drunkenmonkey82,Drunken Monkey,,,,,,False,"['meme', 'memecut', 'fyp', 'eagles', 'sports', 'football', 'espn', 'footballtiktok', 'philadelphiaeagles', 'philadelphia', 'flyeaglesfly', 'trendingvideo', 'nflfootball', 'reels', 'shorts']"
9066,7314109348161064234,2023-12-18T20:20:03,8.0,US,"['pandemic tiktok dances', ' money real long', ' somebody real long', "" i'm watching my tone"", ' money real long dance', ' 2020 tiktok', ' pandemic tiktok', ' that money real long', ' 2020 Tiktok Era']",2000000.0,6673.0,4985.0,9700000.0,good dances while we were locked up 🏡 #fyp #foryourpage #foryoupageofficiall #4upage #4upageシ #ayeashton #pandemic #dubsmash #igdancer #viralvideo #mood #tiktok #2020 #jesus #2023 ,False,,317ac,Ashton🕺🏾,,,,,,False,"['fyp', 'foryourpage', 'foryoupageofficiall', '4upage', '4upageシ', 'ayeashton', 'pandemic', 'dubsmash', 'igdancer', 'viralvideo', 'mood', 'tiktok', '2020', 'jesus', '2023']"
9172,7270227579288718635,2023-08-22T15:16:23,16.0,US,"['hector bellerin speaking english', ' héctor bellerín', ' hector bellerin edit', ' Footballers', ' Football Player', ' football edit', ' héctor', ' bellerin speaking english', ' edits', ' hector bellerin talking']",229000.0,14300.0,882.0,1200000.0,stop bc that intro video was actually so funny 😭😭 ac: @audiosnextdoor #héctorbellerín #hectorbellerinedit #hectorbellerin #edit #futbol #football #footballedit #foryoupage #fyp #foryoupages ,False,,multicinema,bri ⋆˚❀,,,,,,False,"['héctorbellerín', 'hectorbellerinedit', 'hectorbellerin', 'edit', 'futbol', 'football', 'footballedit', 'foryoupage', 'fyp', 'foryoupages']"
