,video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,hashtags
6321,7327410311927975211,2024-01-23T16:34:54,108.0,US,"['leonard bernstein', ' maestro movie', ' maestro', ' bradley cooper', ' Bradley Cooper Maestro', ' Movie Reviews', ' maestro oscar bait', ' oscar bait', ' bradley cooper jimmy fallon', ' Bradley Cooper Edits']",21100.0,627.0,1383.0,228800.0,"Terrible oscar bait. No disrespect to Carey Mulligan who was brilliant. But I’m speaking solely on the light that Bradley Cooper decicded to paint Leonard Bernstein in. This is a failure on the behalf of Cooper and Netflix, and honestly embarassing on behalf of Leonard’s family that they allowed his story to be told in this way. Every positive aspect of this mans life was ignored, and his story was boiled down to a mumbled soap opera. One of thr weakest movies to recieve a best picture oscar nomination in a while. #bradleycooper #maestro #netflix #movies #film #fyp #movietok #cinetok #actor #oscars ",False,,reel.takes,Reel Takes,,,,,,False,"['bradleycooper', 'maestro', 'netflix', 'movies', 'film', 'fyp', 'movietok', 'cinetok', 'actor', 'oscars']"
6340,7340465003004382510,2024-02-27T20:53:25,0.0,US,"['The Empress', ' The Abandoned Empress', ' Sissi The Young Empress Movie', ' Empress Sissi And Queen Victoria', ' empress sisi execution']",3112.0,3.0,8.0,28200.0,"Ever since Empress Sisi became 30 years old, she stopped showing her face and hid it from the public. Empress Elisabeth of Austria, also known as ""Sisi"", was a complex personality who faced a variety of personal struggles throughout her life. While she is often portrayed as a beautiful and confident woman, there are hints in historical records and personal accounts that suggest that she may have also struggled with feelings of insecurity and self-doubt. For example, Elisabeth was always very conscious of her appearance and was said to spend hours each day on her hair and makeup. This could be seen as a sign of insecurity, as she may have felt that her looks were her most valuable asset and that she needed to maintain a certain level of beauty in order to feel worthy. However, it is important to note that Elisabeth's struggles were not solely superficial. She also struggled with depression, anxiety, and an eating disorder throughout her life, and these issues are likely to have had a significant impact on her overall self-worth. Overall, while it is difficult to say for certain whether Elisabeth was insecure, her personal struggles suggest that she may have had a complicated relationship with her own self-image and that she was not immune to feelings of doubt and inadequacy.#historytok #empresssissi #foryoupage #fyp #trending #foryoupage ",False,,serafini_court,Serafini♡,,,,,,False,"['historytok', 'empresssissi', 'foryoupage', 'fyp', 'trending', 'foryoupage']"
6377,7340400633310301486,2024-02-27T16:43:37,163.0,US,"['christopher columbus', ' manatees', ' ooo polish', ' History TikTok', ' history', ' Columbus', ' christopher columbus jamaica', ' christopher', ' Jamaica', ' Christopher Columbus Facts']",80000.0,786.0,1388.0,529200.0,#history #historytok #historytiktok #jamaica ,False,,ooopolish,OOO Polish,,,,,,False,"['history', 'historytok', 'historytiktok', 'jamaica']"
6417,7340094370676215083,2024-02-26T20:55:09,0.0,US,"['Conservative', ' America', ' England TikTok', ' usa', ' Great Job Meme']",3065.0,20.0,87.0,39500.0,Job’s done. You’re welcome your majesty #politics #politicaltiktok #twitter #meme #democrat #republican #uk #england #america #usa #foryoupage #fyp #liberal #conservative ,False,,crazymomentspolitic,Crazy Moments in Politics,,,,,,False,"['politics', 'politicaltiktok', 'twitter', 'meme', 'democrat', 'republican', 'uk', 'england', 'america', 'usa', 'foryoupage', 'fyp', 'liberal', 'conservative']"
6463,7340410761786739998,2024-02-27T17:22:57,0.0,US,"['Spanish Learning', ' Language Learning', ' Spanish Language Learning', ' Bilingual', ' Spanish Lessons', ' Latin Language', ' Speaking Different Languages', ' Learning How To Speak Spanish', ' Spanish Reading Practice', ' spanish class']",168.0,1.0,7.0,5119.0,How do you say forecast in Spanish? ☀️ #interpreter #translate #latina #Spanish #LearnOnTikTok #bilingual #funny #meme ,False,,seaandsun19,Marisol Santana,,,,,,False,"['interpreter', 'translate', 'latina', 'spanish', 'learnontiktok', 'bilingual', 'funny', 'meme']"
6496,7340390675864767786,2024-02-27T16:05:01,46.0,US,"['audrey jimenez wrestler', ' audrey jimenez', ' Jon Jones', ' wrestling', ' Wrestling TikTok', ' girl wrestler', ' wwe women wrestlers', ' Professional Wrestlers', ' WWE', ' wrestler flips on opponent']",169000.0,1755.0,5870.0,1000000.0,Audrey Jimenez is making history 👏  #wrestling #wrestlingtiktok #wwe ,False,,bleacherreport,bleacherreport,,,,,,True,"['wrestling', 'wrestlingtiktok', 'wwe']"
6550,7340386623483465006,2024-02-27T15:49:14,25.0,US,"['wendys', ' surge pricing wendys', ' surge pricing', "" wendy's price increase"", "" Wendy's Burger"", ' Wendys Making Food', ' wendys yellow cup', "" Wendy's Frosty Dairy Dessert"", "" Wendy's 50 Piece Nugget"", ' garlic fries wendys']",79200.0,2166.0,3833.0,771800.0,#greenscreen dystopia for real #wendys #surgepricing #breakingnews ,False,,glernndevern,GlennyDevvy,,,,,,False,"['greenscreen', 'wendys', 'surgepricing', 'breakingnews']"
6572,7340454099474812202,2024-02-27T20:11:02,61.0,US,"['aaron bushnell memorial', ' israeli embassy dc', ' israeli news', ' Embassy Suites', ' Aaron']",110700.0,3114.0,2644.0,370200.0,2/27/24 Update #politics #news #newsupdate #leftist ,False,,allie_202_,Allie O’Brien,,,,,,False,"['politics', 'news', 'newsupdate', 'leftist']"
6579,7340416286347758878,2024-02-27T17:44:22,97.0,US,"['Oscar Awards', ' oscars 2024', ' hailey at the oscars', ' jamie lee curtis oscars', ' acmawards', ' i just won an oscar', ' barbie oscars 2024', ' in memoriam oscars', ' oscar nominations', ' Leo Winning An Oscar']",548.0,1.0,3.0,8101.0,Winners presenting to winners #fyp #oscars #academyawards #awardseason #movietok #oscars2024  ,False,,marmaryeesa2022,Mar Mar :),,,,,,False,"['fyp', 'oscars', 'academyawards', 'awardseason', 'movietok', 'oscars2024']"
6606,7340416870178196766,2024-02-27T17:46:41,539.0,US,"['New York Times', ' news anchor laughing', ' New York Times Square', ' New York Times Crossword Puzzle', ' new york times square israel', ' NYC Times Square', ' ny times lynja', ' new york', ' shared news', ' new york times neighborhood map']",167500.0,13500.0,6179.0,956000.0,Largest Media Scandal in recent time exposed @The New York Times #breakingnews #fyp #viral #nyt #nytimes #🍉 ,False,,usafreepress,Free Press,,,,,,False,"['breakingnews', 'fyp', 'viral', 'nyt', 'nytimes', '🍉']"
