,video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,hashtags
6435,7322584506358091050,2024-01-10T16:28:10,135.0,US,"['andy cohen credit card', ' Andy Cohen', ' andy cohen prank', ' andy cohen anderson cooper', ' john mayer andy cohen', ' andy cohen eyes', ' andy cohen new years 2023', ' andy cohen anderson cooper new years', ' Andy Cohen And John Mayer']",176600.0,53500.0,3385.0,3700000.0,#AndyCohen recounts his experience as a victim of a credit card #scam where he lost a significant amount of money.,False,,staytunednbc,staytunednbc,,,,,,True,"['andycohen', 'scam']"
6446,7322851943494290731,2024-01-11T09:45:46,8.0,US,[],49400.0,185.0,151.0,551300.0,"Watching #BillBelichick throw flags never gets old 😂 (📺 NBC, h/t jaredrblock/X) #nfl #football #patriots ",False,,espn,ESPN,,,,,,True,"['billbelichick', 'nfl', 'football', 'patriots']"
6518,7322617115398114603,2024-01-11T11:00:00,61.0,US,"['Kristen Stewart', ' Twilight', ' kristen stewart edit', ' kristen stewart twilight', ' Twilight Movie', ' Bella Edwards - Twilight', ' Twilight Movie Scene', ' Twilight Saga', ' kristen stewart impression', ' The Twilight Saga']",372900.0,1825.0,997.0,2900000.0,Kristen Stewart remembers playing Bella in #Twilight,False,,varietymagazine,Variety,,,,,,True,['twilight']
6556,7257962685743172910,2023-07-20T14:02:15,66.0,US,"['sting russian', ' oppenheimer review', ' Robert Downey Jr', ' russians by sting', ' christopher nolan interview', ' christopher nolan movies', ' christopher nolan', ' Oppenheimer', ' christopher nolan robert downey jr', ' Oppenheimer Scene']",120900.0,1313.0,119.0,1100000.0,#christophernolan #explains the sources of his #film ideas and his unique background spanning both sides of the Atlantic 🇺🇸🇬🇧 #oppenheimer #oppenheimermovie #robertdowneyjr #inspiration #movie #movietok ,False,,wired,WIRED.COM,,,,,,True,"['christophernolan', 'explains', 'film', 'oppenheimer', 'oppenheimermovie', 'robertdowneyjr', 'inspiration', 'movie', 'movietok']"
6566,7322854386902977838,2024-01-11T09:55:12,567.0,US,"['isabella strahan', ' Michael Strahan', ' isabella strahan mom', ' sophia strahan', ' michael strahan wife', ' michael strahan daughter', ' michael strahan daughter isabella', ' robin roberts cancer', ' isabella strahan mother', ' robin roberts']",358200.0,20400.0,12100.0,4500000.0,"Michael Strahan's daughter Isabella opens up about her brain tumor battle, with Michael telling Robin Roberts: “I know she's going through it, but I know that we're never given more than we can handle and that she is going to crush this.”  #michaelstrahan #robinroberts #braintumor #goodmorningamerica #medulloblastoma  ",False,,gma,Good Morning America,,,,,,True,"['michaelstrahan', 'robinroberts', 'braintumor', 'goodmorningamerica', 'medulloblastoma']"
6572,7322856034110836011,2024-01-11T10:01:34,75.0,US,[],7794.0,160.0,69.0,91700.0,(via @NFLFilms) #nicksaban #billbelichick #nfl #collegefootball ,False,,espn,ESPN,,,,,,True,"['nicksaban', 'billbelichick', 'nfl', 'collegefootball']"
6597,7322272395555949870,2024-01-09T20:17:14,255.0,US,[],11000.0,2321.0,1878.0,273300.0,NYC parents are outraged after learning that migrants have been moved into James Madison High School #news #newstory #parents #school #immigration #immigrant #asylum #asylumseekers #homeless #shelter #brooklyn #nyc #newyorkcity ,False,,clairenewss,claire,,,,,,False,"['news', 'newstory', 'parents', 'school', 'immigration', 'immigrant', 'asylum', 'asylumseekers', 'homeless', 'shelter', 'brooklyn', 'nyc', 'newyorkcity']"
6615,7226457810689903918,2023-04-26T16:27:12,30.0,US,[],9318.0,33.0,30.0,152100.0,VC: @cheddygrace  #trending #beef #netflix #netflixseries #fypシ #foryoupage #fyp #trendingsong #stream #hulusuggestions #hulupartner #trending #oscarsathome #oscars ,False,,awardshowarchive,Brit,,,,,,False,"['trending', 'beef', 'netflix', 'netflixseries', 'fypシ', 'foryoupage', 'fyp', 'trendingsong', 'stream', 'hulusuggestions', 'hulupartner', 'trending', 'oscarsathome', 'oscars']"
6619,7290238957659426079,2023-10-15T13:30:43,58.0,US,"['Heath Ledger', ' heath ledger joker', ' joker hospital scene', ' heath ledger passing', ' joker two face scene', ' joker', ' heath ledger hospital scene', ' jack nicholson joker', ' heath ledger joker behind the scenes', ' aaron eckhart']",1100000.0,15900.0,1426.0,11700000.0,Aaron Eckhart talks about his experience working with Heath Ledger and how Heath stayed in character while doing this scene. #acting #actor #actingprocess #movies #heathledger #joker #aaroneckhart #oscars #oscarnominated ,False,,theactorsprocess,The Actor’s Process,,,,,,False,"['acting', 'actor', 'actingprocess', 'movies', 'heathledger', 'joker', 'aaroneckhart', 'oscars', 'oscarnominated']"
6623,7321819435696655662,2024-01-08T14:59:12,7.0,US,"['pack is back', ' jaire alexander interview', ' jaire alexander funniest moments', ' pack is back jaire alexander', ' jaire alexander news', ' jairealexander', ' pack is back jaire', ' packer', ' green bay packers', ' packers reporter calls player a fan']",40100.0,912.0,219.0,546700.0,"#Packers cornerback Jaire Alexander crashed this interview to share an important message 😂 (via wbaytv2, emilyrobertsnews/IG) #nfl #greenbay ",False,,espn,ESPN,,,,,,True,"['packers', 'nfl', 'greenbay']"
