abstract,lead_paragraph,headline,keywords,pub_date,document_type,section_name
"A U.N. official described Rafah, a refuge for hundreds of thousands of displaced people, as a “pressure cooker of despair.” It is one of the last cities in southern Gaza that Israeli ground forces have not reached.","Israel’s defense minister has signaled that ground forces will advance toward the city of Rafah, in the southern Gaza Strip, which has become a refuge for hundreds of thousands of Palestinians pushed from their homes by nearly 13 weeks of war.","{'main': 'Israel Signals Its Military Will Move Into a Gazan City Turned Refuge', 'kicker': None, 'content_kicker': None, 'print_headline': 'Israel Prepares to Move Its Troops Into Final Gazan City Turned Refuge', 'name': None, 'seo': None, 'sub': None}","['Israel-Gaza War (2023- )', 'Israel', 'Defense and Military Forces', 'Gaza Strip', 'Palestinians', 'Refugees and Displaced Persons', 'Rafah (Gaza Strip)', 'Khan Younis (Gaza Strip)', 'Hamas', 'Terrorism']",2024-02-03T00:00:13+0000,article,World
"Whether dressed in American flag shorts or dirty fatigues, the versatile actor, best known as Apollo Creed in the “Rocky” movies, always made an impression.","When you look back on the career of Carl Weathers, who died on Thursday at the age of 76, certain images immediately come to mind. There is Weathers, abs glistening, in American flag shorts in the “Rocky” movies. Or Weathers wearing dirty fatigues in “Predator.” Comedy junkies might immediately picture him waving alongside an alligator in “Happy Gilmore.” Throughout Weathers’s acting career, which followed a stint in professional football, he was associated with franchises that became pop culture sensations. But he was also a performer who was as comfortable goofing on his own persona as he was battling Rocky Balboa or a Predator. Here are some of his most memorable roles and where to watch them.","{'main': 'Watch These Memorable Carl Weathers Performances', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Weathers, Carl', 'Actors and Actresses', 'Movies', 'Television', 'Rocky (Movie)', 'Happy Gilmore (Movie)', 'Predator (Movie)', 'Toy Story 4 (Movie)', 'The Mandalorian (TV Program)', 'ARRESTED DEVELOPMENT (TV PROGRAM)']",2024-02-03T00:17:56+0000,article,Movies
"The candidates had promised to challenge the university’s leadership, but failed to collect enough signatures to get on the ballot for the board.","It’s hard to get into Harvard, even if you’ve done it before.","{'main': 'Bill Ackman and Mark Zuckerberg Fail to Land Candidates on Harvard’s Board of Overseers', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Colleges and Universities', 'Appointments and Executive Changes', 'Harvard University', 'Ackman, William A', 'Zuckerberg, Mark E', 'Lessin, Samuel W', 'Elections']",2024-02-03T00:36:30+0000,article,U.S.
The president’s Michigan trip underscored the fresh challenges he faces this year.,"President Biden’s visit to Michigan yesterday had all the hallmarks of a vintage Scranton Joe event, as he talked to United Automobile Workers members about his love of cars and affinity for the labor movement.","{'main': 'Biden Finds Support but Also Protests in Michigan', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['United States Politics and Government', 'Israel-Gaza War (2023- )', 'Presidential Election of 2024', 'Biden, Joseph R Jr', 'Michigan', 'Trump, Donald J']",2024-02-03T01:09:33+0000,article,U.S.
"The Times verified two videos filmed in Al Qaim, Iraq, showing a series of fires and explosions close to the Syrian border. The flames appear to have caused secondary explosions at the site.","The Times verified two videos filmed in Al Qaim, Iraq, showing a series of fires and explosions close to the Syrian border. The flames appear to have caused secondary explosions at the site.","{'main': 'U.S. Retaliates With Strikes in Iraq and Syria After Drone Attack', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['United States Politics and Government', 'International Relations', 'Assaults', 'Iraq', 'Qaim (Iraq)', 'Syria', 'United States']",2024-02-03T01:19:59+0000,multimedia,U.S.
He was half of the twin-guitar attack that drove the influential Detroit band’s  live performances and  helped set the stage for punk rock.,"Wayne Kramer, a founder and guitarist of the incendiary Detroit band the MC5, whose furious musical salvos against all things Establishment made them a house band of sorts for the radical left in the late 1960s and early ’70s and helped set the template for punk rock, died on Friday in Los Angeles. He was 75.","{'main': 'Wayne Kramer, Guitarist With the Incendiary MC5, Is Dead at 75', 'kicker': None, 'content_kicker': None, 'print_headline': 'Wayne Kramer, 75, Who Set the Stage For Punk Rock, Dies', 'name': None, 'seo': None, 'sub': None}","['Kramer, Wayne (1948-2024)', 'Deaths (Obituaries)', 'Pop and Rock Music', 'MC5']",2024-02-03T01:22:49+0000,article,Arts
"Corrections that appeared in print on Saturday, Feb. 3, 2024.","Because of an editing error, a picture caption with an article on Friday about a new reconstruction plan for the Port Authority incorrectly described a rendering. The rendering was of the final design at 8th Avenue and 41st Street, not 40th Street.","{'main': 'Corrections: Feb. 3, 2024', 'kicker': None, 'content_kicker': None, 'print_headline': 'Corrections', 'name': None, 'seo': None, 'sub': None}",[],2024-02-03T02:43:49+0000,article,Corrections
"Quotation of the Day for Saturday, February 3, 2024.",“It’s just like you just turned a knob down on the sun.”,"{'main': 'Quotation of the Day: Fringe Climate Proposal, a Giant Space Parasol, Gains Interest', 'kicker': None, 'content_kicker': None, 'print_headline': 'Quote of the Day', 'name': None, 'seo': None, 'sub': None}",[],2024-02-03T02:45:59+0000,article,Corrections
"But it is a sparkling debut by Carolyn Davies Lynch, in collaboration with Jeff Chen.","SATURDAY PUZZLE — Today we have a first-time constructor, Carolyn Davies Lynch, who is living the dream: She’s a happy solver who took one little step in the perfect direction, toward Jeff Chen. A co-founder of xwordinfo.com, Mr. Chen has helped dozens of newbies get started in the puzzleverse; he has now made 151 puzzles for The New York Times, 58 of which have at least one collaborator alongside him. (Give his new invention a try when you’re done here; it’s light and bright but also challenging!)","{'main': 'What It’s Not, in a Saying', 'kicker': 'Wordplay, The CROSSWORD COLUMN', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",['Crossword Puzzles'],2024-02-03T03:00:07+0000,article,Crosswords & Games
The grand opening of a temple in Ayodhya was both a religious ritual and a made-for-TV spectacle for a broadcast media co-opted by Prime Minister Narendra Modi.,The people streaming into the holy town came on an intimate quest: to be among the first to seek the blessings of a beloved god they said was returning home after 500 years.,"{'main': 'Lights! Camera! Modi! It’s a One-Man Show on Indian Television.', 'kicker': None, 'content_kicker': None, 'print_headline': 'Lights! Camera! Modi! It’s a One-Man Show on Indian TV.', 'name': None, 'seo': None, 'sub': None}","['Politics and Government', 'Places of Worship', 'Hinduism', 'Temples (Religious)', 'Television', 'Social Media', 'News and News Media', 'Ram Mandir (Ayodhya, India, Temple)', 'Modi, Narendra', 'Bachchan, Amitabh', 'Ayodhya (India)']",2024-02-03T05:01:17+0000,article,World
