abstract,lead_paragraph,headline,keywords,pub_date,document_type,section_name
"Reducing access to Al Aqsa, the sacred mosque compound in Jerusalem that has long been a flashpoint for tensions, may set off unrest, some Israelis warned.","The Israeli government was locked in debate on Monday on whether to increase restrictions on Muslims’ access to an important mosque compound in Jerusalem during the holy month of Ramadan, leading to predictions of unrest if the limits are enforced.","{'main': 'Israel May Put New Restrictions on Visiting Aqsa Mosque as Ramadan Nears', 'kicker': None, 'content_kicker': None, 'print_headline': 'Israeli Limits on Al Aqsa During Ramadan Could ‘Ignite’ Muslim World', 'name': None, 'seo': None, 'sub': None}","['Al Aqsa Mosque (Jerusalem)', 'Israel-Gaza War (2023- )', 'Ramadan', 'Muslims and Islam', 'Houthis', 'Hamas', 'Jerusalem (Israel)', 'Israel', 'Palestinians', 'United Nations', 'Gaza Strip', 'Mosques']",2024-02-20T00:43:20+0000,article,World
Physicians say the government’s plan to admit more students to medical school ignores the real cause of doctor shortages: harsh conditions and low wages.,"Hundreds of interns and residents at major South Korean hospitals walked off the job on Tuesday, disrupting an essential service to protest the government’s plan to address a shortage of doctors by admitting more students to medical school.","{'main': 'South Korean Doctors Walk Out, Protesting Plan to Increase Their Ranks', 'kicker': None, 'content_kicker': None, 'print_headline': 'South Korea  Faces Crisis  As Doctors  Walk Off Job', 'name': None, 'seo': None, 'sub': None}","['South Korea', 'Strikes', 'Health Care Workers', 'Doctors']",2024-02-20T01:51:06+0000,article,World
The latest storm uprooted trees and collapsed part of California State Route 84.,The latest storm uprooted trees and collapsed part of California State Route 84.,"{'main': 'California Endures Flooding After Another Atmospheric River', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['California', 'Floods']",2024-02-20T02:12:52+0000,multimedia,U.S.
Get live results and maps from the 2024 Pennsylvania legislature special election.,Get live results and maps from the 2024 Pennsylvania legislature special election.,"{'main': 'Pennsylvania State House 140th District Special Election Results', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['internal-paywall-exempt', 'Elections, House of Representatives', 'Elections', 'Elections', 'Pennsylvania', 'Elections, State Legislature']",2024-02-20T02:50:43+0000,multimedia,U.S.
Robert S. Gard senses a novel opportunity.,Jump to: Today’s Theme | Tricky Clues,"{'main': 'Flight of Fancy', 'kicker': 'wordplay, the crossword column', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Crossword Puzzles', 'Games']",2024-02-20T03:00:09+0000,article,Crosswords & Games
"The international police organization has toughened oversight of its protocols, which autocrats have used to pursue dissidents. But the autocrats have adapted.","For years, strongmen and autocrats had a novel weapon in their hunt for political enemies. They used Interpol, the world’s largest police organization, to reach across borders and grab them — even in democracies.","{'main': 'Strongmen Find New Ways to Abuse Interpol, Despite Years of Fixes', 'kicker': None, 'content_kicker': None, 'print_headline': 'Interpol Trails The Autocrats, A Step Behind', 'name': None, 'seo': None, 'sub': None}","['Interpol (International Criminal Police Organization)', 'Police', 'International Relations', 'Politics and Government', 'Fugitives', 'Asylum, Right of', 'Political Prisoners', 'Stock, Jurgen (1959- )', 'Kavanagh, Stephen James', 'Urquiza, Valdecy', 'Turkey', 'Belarus', 'Russia', 'Great Britain', 'Brazil', 'Human Rights and Human Rights Violations']",2024-02-20T05:01:26+0000,article,World
"Hong Kong residents are finding in Shenzhen, the mainland city next door, lower prices, better service and tasty cuisine.","Shuen Chun-wa, 81, and her husband hurried toward a green bus with two dozen other Hong Kong residents, dragging empty suitcases. They had purple tour stickers on their jackets and were headed to shop in Shenzhen, a bustling Chinese city that sits on the northern side of the border with Hong Kong.","{'main': 'Spicy Food and Dental Implants: Low Prices Lure Hong Kongers to China', 'kicker': None, 'content_kicker': None, 'print_headline': 'Low Prices Lure Visitors to China From Hong Kong', 'name': None, 'seo': None, 'sub': None}","['Hong Kong', 'Shenzhen (China)', 'Discount Selling', 'Shopping and Retail', 'International Relations', 'Politics and Government', 'Economic Conditions and Trends', 'Prices (Fares, Fees and Rates)', 'Elderly', 'Budget Travel', 'Food']",2024-02-20T05:01:26+0000,article,Business Day
Traders and strategists are thinking about all the ways that November’s election could alter the mood in markets.,"Nine months ahead of the presidential election, investors are already thinking about how financial markets might respond to the outcome of the vote, and how they should trade to prepare for it.","{'main': 'Wall Street Is Already Placing Bets on the Biden-Trump Rematch', 'kicker': None, 'content_kicker': None, 'print_headline': 'Wall Street  Weighs Bets On Election', 'name': None, 'seo': None, 'sub': None}","['Presidential Election of 2024', 'United States Politics and Government', 'Government Bonds', 'Stocks and Bonds', 'Interest Rates', 'International Trade and World Market', 'United States Economy', 'Federal Reserve System', 'Powell, Jerome H', 'Trump, Donald J', 'Biden, Joseph R Jr']",2024-02-20T05:01:43+0000,article,Business Day
Officials hope an Olympic Village can transform a Paris suburb known for poverty and crime. But big plans have failed before.,"Parisians are already grumbling about the crowds for this summer’s Olympics. They envision sweaty tourists jamming the subway cars, making the hell of commuting even more, well, hellish. They are planning their summer escapes; at worst a “télétravail” schedule to work from home.","{'main': 'Can the Olympics Rejuvenate One of France’s Poorest Corners?', 'kicker': None, 'content_kicker': None, 'print_headline': 'Can the Olympics Rejuvenate One of the Poorest Areas in France?', 'name': None, 'seo': None, 'sub': None}","['St Denis (France)', 'Olympic Games (2024)', 'Area Planning and Renewal', 'Poverty', 'Labor and Jobs', 'Suburbs', 'Infrastructure (Public Works)', 'Urban Areas', 'Immigration and Emigration', 'Real Estate (Commercial)', 'Public and Subsidized Housing', 'Real Estate and Housing (Residential)', 'Affordable Housing', 'Paris (France)']",2024-02-20T05:01:52+0000,article,World
"As an election looms, strongmen are finding new ways to use the international policing organization to pursue dissidents.","Interpol is the world’s largest police organization. It serves as a powerful bulletin board that governments and law enforcement agencies use to team up to pursue fugitives across the globe. At its best, it helps track down killers and terrorists.","{'main': '4 Ways Autocrats Have Used Interpol to Harass Faraway Enemies', 'kicker': None, 'content_kicker': None, 'print_headline': 'Ways in Which Strongmen Have Used Interpol to Hunt Faraway Enemies', 'name': None, 'seo': None, 'sub': None}","['Police', 'Passports', 'Extradition', 'Interpol (International Criminal Police Organization)', 'Browder, William F']",2024-02-20T05:01:54+0000,article,World
"Julian Assange, the WikiLeaks founder, has been in prison for nearly 5 years, fighting a U.S. extradition order. A hearing is his last chance to be granted an appeal in Britain.","Since 2019, Julian Assange, the founder of WikiLeaks, has been held in a high security prison in southeast London while his lawyers fight a U.S. extradition order. Now, that particular battle may be nearing its end.","{'main': '‘Beginning of the End’ as Assange Case Returns to Court', 'kicker': None, 'content_kicker': None, 'print_headline': 'For Assange Case, Hearing Marks ‘Beginning of the End’', 'name': None, 'seo': None, 'sub': None}","['Assange, Julian P', 'Great Britain', 'Classified Information and State Secrets', 'Extradition', 'WikiLeaks']",2024-02-20T05:02:12+0000,article,World
"The wife of Russia’s most famous opposition leader long shunned the spotlight, but his death in prison may make that impossible. “I have no right to give up,” she said.","It was August 2020, and Yulia Navalnaya, the wife of Russia’s most famous opposition leader, was striding through the battered, gloomy hallways of a provincial Russian hospital, looking for the room where her husband lay in a coma.","{'main': 'Wife, Protector and Now Political Heir: Yulia Navalnaya Rallies Russians', 'kicker': None, 'content_kicker': None, 'print_headline': 'Becoming the New Face Opposing the Kremlin', 'name': None, 'seo': None, 'sub': None}","['Navalnaya, Yulia B', 'Russia', 'Navalny, Aleksei A', 'Political Prisoners', 'Putin, Vladimir V', 'Politics and Government', 'Deaths (Fatalities)', 'Assassinations and Attempted Assassinations', 'audio-neutral-informative']",2024-02-20T05:02:13+0000,article,World
Aleksei Navalny’s widow keeps fighting.,"Yulia Navalnaya, the widow of the Russian opposition leader Aleksei Navalny, vowed to continue his fight against President Vladimir Putin’s autocratic rule.","{'main': 'Tuesday Briefing', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",[],2024-02-20T05:29:09+0000,article,Briefing
"Quotation of the Day for Tuesday, February 20, 2024.","“This was always cosmetic. If signing a piece of paper was getting these companies into trouble, it’s no surprise they’re getting the hell out.”","{'main': 'Quotation of the Day: More Wall Street Firms Are Flip-Flopping on Their Climate Pledges', 'kicker': None, 'content_kicker': None, 'print_headline': 'Quote of the Day', 'name': None, 'seo': None, 'sub': None}",[],2024-02-20T05:46:23+0000,article,Corrections
"Corrections that appeared in print on Tuesday, Feb. 20, 2024.","An article on Monday about European leaders’ growing concerns surrounding the threats posed by President Vladimir V. Putin of Russia misstated the day on which the widow of Aleksei A. Navalny spoke at the Munich Security Conference. It was Friday, not Thursday.","{'main': 'Corrections: Feb. 20, 2024', 'kicker': None, 'content_kicker': None, 'print_headline': 'Corrections', 'name': None, 'seo': None, 'sub': None}",[],2024-02-20T05:46:47+0000,article,Corrections
My friend Aleksei’s dream of a beautiful Russia is immortal.,"It’s 2007, a warm, sunny spring day in Moscow. It’s my first rally, and I’m nervous. I’m 16, silly and shy, falling in love with courageous and loud people around me. I hear my quiet voice join others screaming, “Russia without Putin.” We lock our arms and together push the police out of the street. Russia could be free: It’s a new feeling for me. This is where I see Aleksei Navalny for the first time.","{'main': 'Putin Can’t Kill the Vision of the Future Navalny Gave Us', 'kicker': 'Guest Essay', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Russia', 'Putin, Vladimir V', 'Navalny, Aleksei A', 'Pussy Riot', 'Deaths (Fatalities)', 'Demonstrations, Protests and Riots', 'Politics and Government', 'Political Prisoners', 'Assassinations and Attempted Assassinations']",2024-02-20T06:00:13+0000,article,Opinion
