abstract,lead_paragraph,headline,keywords,pub_date,document_type,section_name
"Under the withering attacks, 165 people were killed in the past 24 hours, Gazan officials said, while Israel said it had destroyed the apartment of a Hamas leader.","Israeli forces clashed with Hamas militants across the Gaza Strip on Saturday, the Israeli military said, deepening its engagement in the decimated enclave even as the Palestinian death toll from relentless airstrikes in 12 weeks of war soared higher.","{'main': 'Defying U.S. Pressure, Israel Deepens Gaza Assault', 'kicker': None, 'content_kicker': None, 'print_headline': 'Toll in Gaza Surges as Israeli Assault Intensifies Despite U.S. Pressure', 'name': None, 'seo': None, 'sub': None}","['Israel-Gaza War (2023- )', 'Defense and Military Forces', 'Palestinians', 'Civilian Casualties', 'Hamas', 'Netanyahu, Benjamin', 'Sinwar, Yehya', 'Gaza Strip', 'Israel', 'United States International Relations']",2023-12-31T00:00:18+0000,article,World
"While conditions in some areas were expected to ease on Saturday, rough conditions could continue elsewhere until Monday.","A third day of rain, coastal flooding and gigantic waves along parts of the California coast forced residents to evacuate and left streets and parking lots flooded on Saturday, though forecasters predicted that conditions would soon improve in some areas.","{'main': 'Storms and High Waves Pummel California Coast for a Third Day', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Weather', 'Floods', 'Tidal Waves and Tsunamis', 'Beaches', 'Evacuations and Evacuees', 'California', 'Surfing']",2023-12-31T01:05:13+0000,article,U.S.
"Our correspondents ventured to some of the world’s most remote, and dangerous, locales to report stories that reveal a country’s culture and the human condition. Here are our favorites from the year.","Bearing witness, at close range and often at great risk, is the essence of a dispatch, and in 2023, our correspondents filed 80 of them from 37 countries, capturing the human experience from almost every angle: the good, the bad and the wrenching.","{'main': 'The World in Stories: 13 Favorite Dispatches From 2023', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Israel-Gaza War (2023- )', 'Two Thousand Twenty Three', 'AFGHANISTAN', 'Defense and Military Forces', 'Russian Invasion of Ukraine (2022)', 'Afghanistan Earthquake (June 22, 2022)', 'Animal Behavior', 'Photography', 'Politics and Government', 'Religion and Belief']",2023-12-31T05:01:27+0000,article,World
"Quotation of the Day for Sunday, December 31, 2023.","“This query came in today and it’s either brilliant or it’s bananas, because there’s a talking octopus.”","{'main': 'Quotation of the Day: The Unusual Reach of ‘That Octopus Book’ Took Even Its Publisher by Surprise', 'kicker': None, 'content_kicker': None, 'print_headline': 'Quote of the Day', 'name': None, 'seo': None, 'sub': None}",[],2023-12-31T06:16:12+0000,article,Corrections
"Corrections that appeared in print on Sunday, Dec. 31, 2023.",“The Year’s Best Historical Fiction” on Dec. 10 referred imprecisely to James McBride’s novel “The Heaven & Earth Grocery Store.” It takes place between the 1920s and 1970s. It does not take place just in the 1950s.,"{'main': 'Corrections: Dec. 31, 2023', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",[],2023-12-31T06:16:16+0000,article,Corrections
"A quick stop at the post office, a bright spot in the sky and more reader tales of New York City in this week’s Metropolitan Diary.",Dear Diary:,"{'main': '‘As I Got to the Front of the Line, a Man Approached Me From Behind’', 'kicker': 'Metropolitan Diary', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",['New York City'],2023-12-31T08:00:22+0000,article,New York
"Apps that remotely track and control cars are being weaponized by abusive partners. Car manufacturers have been slow to respond, according to victims and experts.","After almost 10 years of marriage, Christine Dowdall wanted out. Her husband was no longer the charming man she had fallen in love with. He had become narcissistic, abusive and unfaithful, she said. After one of their fights turned violent in September 2022, Ms. Dowdall, a real estate agent, fled their home in Covington, La., driving her Mercedes-Benz C300 sedan to her daughter’s house near Shreveport, five hours away. She filed a domestic abuse report with the police two days later.","{'main': 'Your Car Is Tracking You. Abusive Partners May Be, Too.', 'kicker': None, 'content_kicker': None, 'print_headline': 'The Stalker Under Your Hood', 'name': None, 'seo': None, 'sub': None}","['Automobiles', 'Privacy', 'Stalking (Crime)', 'Mobile Applications', 'Cyberharassment']",2023-12-31T08:00:24+0000,article,Technology
"Security guards have confiscated naloxone from bar and nightclub goers, even though city officials encourage people to carry the drug to save lives.","On a Thursday night last October, Ryan Carlos set off the metal detectors at the door of Brooklyn Steel, a popular music venue in Williamsburg. A security guard pulled him aside, patted him down and instructed him to turn out his pockets.","{'main': 'An Overdose Antidote Becomes a Tricky Issue at Some Nightclubs', 'kicker': None, 'content_kicker': None, 'print_headline': 'Overdose Antidote Gets Red Light at Some Nightclubs', 'name': None, 'seo': None, 'sub': None}","['Drug Abuse and Traffic', 'Bars and Nightclubs', 'Naloxone (Drug)', 'Opioids and Opiates', 'Fentanyl', 'Bossa Nova Civic Club (Brooklyn, NY, Nightclub)', 'Brooklyn Steel (Brooklyn, NY, Music Venue)', 'Health and Mental Hygiene Department (NYC)', 'OnPoint NYC (Nonprofit)', 'Vasan, Ashwin', 'Bowery (Manhattan, NY)', 'Brooklyn Navy Yard (Brooklyn, NY)', 'New York City', 'Williamsburg (Brooklyn, NY)']",2023-12-31T08:00:25+0000,article,New York
"After The New York Times announced that Ms. Bennett would become Wordle’s first editor, her life took a public turn. About a year later, she’s still getting used to it.","When Tracy Bennett sits down to play Wordle, she does so with a word of six — not five — letters in mind: Whimsy. She wants to approach the game with a bit of levity. So, she opens The New York Times Games app and taps into her intuition, five empty squares — each a chance for success — staring back at her.","{'main': 'Tracy Bennett Brings Whimsy to Wordle', 'kicker': 'Times Insider', 'content_kicker': None, 'print_headline': 'Editing Every Wordle, and Still Playing Daily, Too', 'name': None, 'seo': None, 'sub': None}","['Wordle (Puzzle)', 'Puzzles', 'Crossword Puzzles', 'Bennett, Tracy (Crossword Constructor)', 'ANN ARBOR (MICH)', 'Ezersky, Sam', 'Wardle, Josh', 'Spelling', 'Newspapers']",2023-12-31T08:00:25+0000,article,Times Insider
"As conventional forces struggle to break through defensive lines, both sides are increasingly turning to guerrilla tactics.","The saboteurs managed to place four explosives on a Russian freight train carrying diesel and jet fuel, roughly 3,000 miles from the Ukrainian border. But more important than the destruction of the train, Ukrainian intelligence officials said, was the timing of the blast.","{'main': 'Ukraine, Stalled on the Front, Steps Up Sabotage, Targeting Trains', 'kicker': None, 'content_kicker': None, 'print_headline': 'Stuck at Front, Ukraine Turns To Saboteurs', 'name': None, 'seo': None, 'sub': None}","['Ukraine', 'Russia', 'Russian Invasion of Ukraine (2022)', 'Defense and Military Forces', 'Railroads', 'Espionage and Intelligence Services', 'Bridges and Tunnels']",2023-12-31T08:00:27+0000,article,World
Feeling stuck on today’s puzzle? We can help.,"Hi busy bees! Welcome to today’s Spelling Bee forum. There are a number of terms that appear in both this article and other online discussions of the Spelling Bee; a glossary of those terms compiled by Monicat, a Times reader, can be found below.","{'main': 'Spelling Bee Forum', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",['Spelling Bee (Game)'],2023-12-31T08:00:28+0000,article,Crosswords & Games
In case you need some puzzle help.,"Good morning, dear connectors. Welcome to today’s Connections forum, where you can give and receive puzzle — and emotional — support.","{'main': 'The Connections Companion', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Crossword Puzzles', 'Connections (Game)']",2023-12-31T08:00:30+0000,article,Crosswords & Games
In case you need some puzzle help.,"Welcome to The Wordle Review. Be warned: This page contains spoilers for today’s puzzle. Solve Wordle first, or scroll at your own risk.","{'main': 'Today’s Wordle Review', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",['Wordle (Puzzle)'],2023-12-31T08:00:45+0000,article,Crosswords & Games
