abstract,lead_paragraph,headline,keywords,pub_date,document_type,section_name
"The Minnesota Democrat, currently challenging President Biden, said he would consider running on the ticket of the centrist group if he thought Mr. Biden would lose to Donald Trump.","Representative Dean Phillips of Minnesota, a Democrat running a long-shot primary challenge to President Biden, said on Saturday that he would consider running on the ticket of No Labels, a centrist group exploring an independent bid, if it appeared the general election would be a rematch between Mr. Biden and Donald J. Trump.","{'main': 'Dean Phillips Floats a No Labels Bid if 2024 Is Trump vs. Biden', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Phillips, Dean B', 'No Labels', 'Presidential Election of 2024', 'Third-Party Politics (US)', 'United States Politics and Government', 'Biden, Joseph R Jr', 'Trump, Donald J']",2024-01-21T00:45:15+0000,article,U.S.
"Hundreds of ships are avoiding the Red Sea and sailing an extra 4,000 miles around Africa because of the Houthi attacks, and it comes at considerable economic cost.","Hundreds of ships are avoiding the Red Sea and sailing an extra 4,000 miles around Africa because of the Houthi attacks, and it comes at considerable economic cost.","{'main': 'How Houthi Attacks Have Upended Global Shipping', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Red Sea', 'Houthis', 'Ships and Shipping', 'Middle East', 'Freight (Cargo)', 'International Trade and World Market', 'Iran', 'Yemen', 'Israel-Gaza War (2023- )', 'Israel', 'Gaza Strip', 'War and Armed Conflicts', 'Suez Canal', 'International Relations']",2024-01-21T03:08:43+0000,multimedia,World
"Although he dons different personas, the strongman bona fides of Prabowo Subianto date to when Indonesia was a dictatorship led by his former father-in-law.",He hoped to succeed Indonesia’s longtime dictator. He ordered the kidnappings of pro-democracy activists. He was accused of atrocities during the ruthless military occupation of East Timor. He has said elections run counter to his country’s culture.,"{'main': 'Why This Presidential Front-Runner Is Stirring Fears of the ‘Death of Democracy’', 'kicker': None, 'content_kicker': None, 'print_headline': 'Indonesians Fret as Ex-Strongman  Leads Polls in Race for President', 'name': None, 'seo': None, 'sub': None}","['Prabowo Subianto', 'Indonesia', 'Gibran Rakabuming Raka', 'Joko Widodo', 'Elections', 'Youth', 'Politics and Government']",2024-01-21T05:01:17+0000,article,World
"Rising temperatures and retreating glaciers threaten Europe’s water tower, forcing local farmers to adapt and presaging larger troubles downstream.","For centuries, Swiss farmers have sent their cattle, goats and sheep up the mountains to graze in warmer months before bringing them back down at the start of autumn. Devised in the Middle Ages to save precious grass in the valleys for winter stock, the tradition of “summering” has so transformed the countryside into a patchwork of forests and pastures that maintaining its appearance was written into the Swiss Constitution as an essential role of agriculture.","{'main': 'As Switzerland’s Glaciers Shrink, a Way of Life May Melt Away', 'kicker': None, 'content_kicker': None, 'print_headline': 'Fading Swiss Glaciers Force Traditions to Bend', 'name': None, 'seo': None, 'sub': None}","['ALPS MOUNTAINS', 'Switzerland', 'Global Warming', 'Glaciers', 'Goats', 'Agriculture and Farming', 'Water', 'Livestock', 'Drought', 'Snow and Snowstorms', 'Mountains', 'Sheep', 'Cattle', 'Europe', 'Italy']",2024-01-21T05:01:49+0000,article,World
"Quotation of the Day for Sunday, January 21, 2024.","“Americans just want us to buy more weapons. They want our money, and want our chips.”","{'main': 'Quotation of the Day: Taiwan’s Faith in U.S. Wavers as Tensions With China Rise', 'kicker': None, 'content_kicker': None, 'print_headline': 'Quote of the Day', 'name': None, 'seo': None, 'sub': None}",[],2024-01-21T07:51:48+0000,article,Corrections
In case you need some puzzle help.,"Welcome to The Wordle Review. Be warned: This page contains spoilers for today’s puzzle. Solve Wordle first, or scroll at your own risk.","{'main': 'Today’s Wordle Review', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",['Wordle (Puzzle)'],2024-01-21T08:00:02+0000,article,Crosswords & Games
A basketball coach’s persistence has a newly retired journalist reminiscing about newsgathering in a different era.,"Of all the gym joints in all the towns in all the world, he walks into mine.","{'main': 'My Rick Pitino Story', 'kicker': 'Times Insider', 'content_kicker': None, 'print_headline': 'A Coach, a Long Driveway and a Longer Career', 'name': None, 'seo': None, 'sub': None}","['Coaches and Managers', 'Basketball', 'New York Knicks', ""St John's University"", 'University of Kentucky', 'Pitino, Rick']",2024-01-21T08:00:09+0000,article,Corrections
Feeling stuck on today’s puzzle? We can help.,"Hi busy bees! Welcome to today’s Spelling Bee forum. There are a number of terms that appear in both this article and other online discussions of the Spelling Bee; a glossary of those terms compiled by Monicat, a Times reader, can be found below.","{'main': 'Spelling Bee Forum', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",['Spelling Bee (Game)'],2024-01-21T08:00:10+0000,article,Crosswords & Games
In case you need some puzzle help.,"Good morning, dear connectors. Welcome to today’s Connections forum, where you can give and receive puzzle — and emotional — support.","{'main': 'The Connections Companion', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Crossword Puzzles', 'Connections (Game)']",2024-01-21T08:00:14+0000,article,Crosswords & Games
"Doing errands on a grumpy Sunday, recalling a fairy-tale chapter and more reader tales of New York City in this week’s Metropolitan Diary.",Dear Diary:,"{'main': '‘I Turned and Saw My Barber and His Buddies Working on a Car’', 'kicker': 'METROPOLITAN DIARY', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",['New York City'],2024-01-21T08:00:19+0000,article,New York
