abstract,lead_paragraph,headline,keywords,pub_date,document_type,section_name
Mayor Eric Adams took the unusual step of joining an N.Y.P.D. raid to crack down on a robbery ring. His critics called it a political stunt.,"A day after Mayor Eric Adams repeated his message that the migrant crisis would destroy New York City, he seemed intent on proving his point.","{'main': 'Mayor Adams Joins Police Raid, Seeking to Expose a Migrant Crime Ring', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Adams, Eric L', 'Robberies and Thefts', 'Police', 'Mayors', 'Immigration and Emigration', 'New York City']",2024-02-06T00:00:00+0000,article,New York
The top U.S. diplomat spoke with Saudi Arabia’s de facto ruler as he sought to broker a pause in the fighting. His visit came the same day a drone struck a Syrian base used by U.S. forces and their allies.,"Secretary of State Antony J. Blinken began a diplomatic push in the Middle East on Monday for a deal that would pause the war in the Gaza Strip and release the hostages there, even as a drone struck a military base used by American troops and allied forces in eastern Syria.","{'main': 'Blinken Meets Saudi Crown Prince on Mideast Push for Pause in Gaza War', 'kicker': None, 'content_kicker': None, 'print_headline': 'Blinken Has Talk  With Saudi Royal  In Cease-Fire Bid', 'name': None, 'seo': None, 'sub': None}","['Israel-Gaza War (2023- )', 'United States International Relations', 'International Relations', 'Palestinians', 'Saudi Arabia', 'Syrian Democratic Forces', 'Blinken, Antony J', 'Mohammed bin Salman (1985- )', 'Gaza Strip', 'Israel', 'Syria', 'Iran']",2024-02-06T00:00:22+0000,article,World
A new lawsuit says federal agencies overstepped their authority in a rule forcing banks to do business in underserved communities.,"Some of the banking industry’s most powerful trade groups sued the Federal Reserve, the Federal Deposit Insurance Corporation and the Office of the Comptroller of the Currency on Monday, claiming that the regulators overstepped their authority in updating a law meant to reverse the effects of redlining.","{'main': 'Banks Sue Regulators Over Anti-Redlining Rule', 'kicker': None, 'content_kicker': None, 'print_headline': 'Banks Sue  Over Rule To Reverse Redlining', 'name': None, 'seo': None, 'sub': None}","['Banking and Financial Institutions', 'Regulation and Deregulation of Industry', 'Suits and Litigation (Civil)', 'Community Reinvestment Act', 'Minorities', 'Small Business', 'AMERICAN BANKERS ASSN', 'Federal Deposit Insurance Corp', 'Federal Reserve System', 'Independent Community Bankers of America', 'National Community Reinvestment Coalition', 'Office of the Comptroller of the Currency', 'United States Chamber of Commerce', 'Texas']",2024-02-06T00:01:16+0000,article,Business Day
"President Macky Sall abruptly postponed elections scheduled for this month, and on Monday, legislators in the West African nation voted to allow him to stay in office months after his presidency is to end.","Senegal’s Parliament voted late Monday to delay elections until December, after opposition lawmakers seeking to block the vote were thrown out of the National Assembly. The vote came after President Macky Sall last week postponed the upcoming ballot, a move critics condemned as an “institutional coup.”","{'main': 'Senegal Parliament Delays Elections Until December After Opposition Showdown', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Senegal', 'AFRICA', 'France', 'Elections', 'Democracy (Theory and Philosophy)', 'Legislatures and Parliaments', 'Youth']",2024-02-06T00:14:39+0000,article,World
"More than 1,000 Black faith leaders are pressuring the Biden administration to push for a cease-fire in Israel’s war on Hamas in Gaza.","More than 1,000 Black faith leaders are pressuring the Biden administration to push for a cease-fire in Israel’s war on Hamas in Gaza.","{'main': 'Why Biden Is Losing Support Among Some Religious Black Voters', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Israel-Gaza War (2023- )', 'Palestinians', 'United States Politics and Government', 'Biden, Joseph R Jr', 'Black People', 'Blacks', 'Presidential Election of 2024', 'Voting and Voters', 'Christians and Christianity']",2024-02-06T00:19:52+0000,multimedia,U.S.
"Republican critics are misrepresenting one provision of a bipartisan deal to suggest that it permits 5,000 illegal crossings a day.","Republican critics have quickly twisted one element of a bipartisan compromise bill unveiled on Sunday to misleadingly suggest that it permits 5,000 migrants to enter the country illegally every day.","{'main': 'No, Border Deal Won’t ‘Allow’ 5,000 Unauthorized Immigrants a Day', 'kicker': 'Fact CHECK', 'content_kicker': None, 'print_headline': 'No, the Border Deal Wouldn’t ‘Allow’ 5,000 Unauthorized Immigrants a Day', 'name': None, 'seo': None, 'sub': None}","['Law and Legislation', 'Illegal Immigration', 'Asylum, Right of', 'Immigration and Emigration', 'Border Patrol (US)', 'Customs and Border Protection (US)', 'Migration Policy Institute', 'Republican Party', 'Senate', 'House of Representatives', 'Lankford, James', 'Miller, Mary E (1959- )', 'Scalise, Steve', 'Trump, Donald J']",2024-02-06T00:40:00+0000,article,U.S.
President Biden accused Republicans in the House of a “cynical political maneuver” intended to kill broader legislation that would also provide money for the southern border.,"President Biden vowed on Monday to veto a House Republican bill that would provide $17.6 billion in aid to Israel, calling it a “cynical political maneuver” intended to hurt the chances of passage for broader legislation that would provide money for Israel, Ukraine, Taiwan and the U.S. border.","{'main': 'Biden Threatens to Veto Bill That Would Help Israel but Not Ukraine', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['United States Politics and Government', 'Law and Legislation', 'Israel-Gaza War (2023- )', 'Foreign Aid', 'Immigration and Emigration', 'Illegal Immigration', 'House of Representatives', 'Office of Management and Budget (US)', 'Republican Party', 'Biden, Joseph R Jr', 'Israel', 'Gaza Strip', 'Ukraine']",2024-02-06T00:58:17+0000,article,U.S.
"President Biden could take some steps without Congress, but the idea that he has unfettered power to seal off the country is far too simplistic.","President Biden is pleading with Congress for new authority to shut down the nation’s overwhelmed southern border, declaring that he has done “all I can do” and urging lawmakers to “give me the power” to fix it.","{'main': 'Trump Couldn’t Shut Down the Border. Can Biden?', 'kicker': 'News Analysis', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['United States Politics and Government', 'Immigration and Emigration', 'Law and Legislation', 'Asylum, Right of', 'Republican Party', 'Senate', 'Biden, Joseph R Jr', 'Trump, Donald J', 'Mexico', 'United States', 'Johnson, Mike (1972- )']",2024-02-06T01:26:44+0000,article,U.S.
A regional director for the National Labor Relations Board cleared the way for the collegiate men’s basketball team to hold a vote.,"A federal official said Monday that members of the Dartmouth men’s basketball team were university employees, clearing a path for the team to take a vote that could make it the first unionized college sports program in the country.","{'main': 'Dartmouth Players Are Employees Who Can Unionize, U.S. Official Says', 'kicker': None, 'content_kicker': None, 'print_headline': 'Dartmouth Players Are Employees and Can Unionize, Federal Official Says', 'name': None, 'seo': None, 'sub': None}","['Dartmouth College', 'Basketball (College)', 'Organized Labor', 'Student Athlete Compensation', 'National Collegiate Athletic Assn', 'National Labor Relations Board', 'Northwestern University']",2024-02-06T01:30:08+0000,article,Business Day
"The police provided few details about the death, making it unclear whether it would be covered by the medical aid in dying laws that some states have but that New York does not.","A former doctor from Arizona is facing a manslaughter charge in New York for his role in the suicide of a woman who died in a Hudson Valley motel room in November, according to his lawyer and law enforcement officials.","{'main': 'Ex-Doctor Charged With Manslaughter in New York Woman’s Suicide', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Murders, Attempted Murders and Homicides', 'Euthanasia and Assisted Suicide', 'Kingston (NY)', 'Doctors', 'Suicides and Suicide Attempts']",2024-02-06T01:46:12+0000,article,New York
"Ms. Haley, who is battling Donald Trump for the Republican nomination, has had two “swatting” attempts reported at her home.","Nikki Haley, who has been the target of at least two hoax calls that have sent the authorities rushing to her home, has applied for Secret Service protection as the number of threats against her has increased, a campaign spokeswoman confirmed Monday.","{'main': 'Nikki Haley, Facing Rising Threats, Requests Secret Service Protection', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Haley, Nikki R', 'Republican Party', 'Presidential Election of 2024', 'United States Politics and Government', 'Threats and Threatening Messages', 'Trump, Donald J']",2024-02-06T02:12:12+0000,article,U.S.
"The Treasury secretary will offer an upbeat assessment of the economy on Tuesday, a year after the nation’s banking system faced turmoil.",Treasury Secretary Janet L. Yellen will tell lawmakers on Tuesday that the United States has had a “historic” economic recovery from the pandemic but that regulators must vigilantly safeguard the financial system from an array of looming risks to preserve the gains of the last three years.,"{'main': 'Yellen Says Stable Financial System Is Key to U.S. Economic Strength', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['United States Economy', 'Banking and Financial Institutions', 'Financial Stability Oversight Council', 'House Financial Services Committee', 'Silicon Valley Bank', 'Signature Bank', 'Yellen, Janet L']",2024-02-06T02:34:43+0000,article,Business Day
"The family of five was stopped at gunpoint in 2020 by officers in Aurora, Colo., who mistook their S.U.V. for a stolen vehicle.","Five members of a Black family who were wrongfully detained at gunpoint in Aurora, Colo., in 2020 by police officers who mistook their S.U.V. for a vehicle that had been stolen received $1.9 million to settle their lawsuit against the city, the family’s lawyer said Monday.","{'main': 'City in Colorado Pays $1.9 Million to Black Family Wrongfully Detained by Police', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Robberies and Thefts', 'Suits and Litigation (Civil)', 'Police', 'Compensation for Damages (Law)', 'Police Brutality, Misconduct and Shootings', 'Black People', 'Blacks', 'Race and Ethnicity', 'Police Department (Aurora, Colo)', 'Dasko, Darian', 'Gilliam, Brittney', 'Moen, Madisen', 'Aurora (Colo)', 'Colorado']",2024-02-06T02:35:25+0000,article,U.S.
Victor Barocas takes a detour.,Jump to: Today’s Theme | Tricky Clues,"{'main': 'Close at Hand', 'kicker': 'wordplay, the crossword column', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Crossword Puzzles', 'Games']",2024-02-06T03:00:10+0000,article,Crosswords & Games
"Quotation of the Day for Tuesday, February 6, 2024.",“They’re not going to take us seriously until somebody gets killed.”,"{'main': 'Quotation of the Day: Prison Escapes, Indefinite Lockdowns and Distress Signals Left in the Lurch', 'kicker': None, 'content_kicker': None, 'print_headline': 'Quote of the Day', 'name': None, 'seo': None, 'sub': None}",[],2024-02-06T03:53:24+0000,article,Corrections
"Corrections that appeared in print on Tuesday, Feb. 6, 2024.","An article on Monday about a campaign to get a championship H.B.C.U. basketball team the recognition it deserves misspelled the surname of the Tennessee A&I Tigers basketball coach. He is John McLendon, not McClendon.","{'main': 'Corrections: Feb. 6, 2024', 'kicker': None, 'content_kicker': None, 'print_headline': 'Corrections', 'name': None, 'seo': None, 'sub': None}",[],2024-02-06T03:53:43+0000,article,Corrections
