abstract,lead_paragraph,headline,keywords,pub_date,document_type,section_name
She sparred with avant-garde instrumentalists and used electronics to alter and extend her vocal palette. She was also at home in more conventional settings.,"Jay Clayton, a singer whose six-decade career encompassed freewheeling improvisation, lyrical songs and poetry, and the prescient use of electronics, died on Dec. 31 at her home in New Paltz, N.Y. She was 82.","{'main': 'Jay Clayton, Vocal Innovator in Jazz and Beyond, Is Dead at 82', 'kicker': None, 'content_kicker': None, 'print_headline': 'Jay Clayton, 82, Avant-Garde Jazz Vocalist and Influential Teacher, Dies', 'name': None, 'seo': None, 'sub': None}","['Deaths (Obituaries)', 'Jazz', 'Classical Music', 'Clayton, Jay', 'Jordan, Sheila (1928- )', 'Reich, Steve']",2024-01-13T00:01:28+0000,article,Arts
Metropolitan Transportation Authority officials said it was the second subway surfing death in the past two months.,"A teenage boy was killed Friday afternoon in Brooklyn while riding on the outside of a subway train in a so-called subway surfing incident, transit officials said.","{'main': 'Teenager Killed While ‘Subway Surfing’ in Brooklyn, Officials Say', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Subways', 'Railroad Accidents and Safety', 'Deaths (Fatalities)', 'Brooklyn (NYC)', 'Stunts and Stuntmen']",2024-01-13T00:04:39+0000,article,New York
A Russian billionaire has accused the auction house of aiding a scheme that led him to hugely overpay for artworks. Sotheby’s said the billionaire had simply not done his homework.,"Dmitry Rybolovlev survived the turmoil of the collapse of the Soviet Union, founded a bank in Russia in the 1990s and built a fortune of roughly $7 billion from the sale of a potash fertilizer company.","{'main': 'Sotheby’s to Oligarch at Art Fraud Trial: The Buck Stopped With You', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['High Net Worth Individuals', 'Art', 'Frauds and Swindling', ""Sotheby's"", 'Bouvier, Yves', 'Rybolovlev, Dmitry Evgenevich', 'Manhattan (NYC)']",2024-01-13T00:49:01+0000,article,Arts
"William Chrestman of Olathe, Kan., a Proud Boys member, was sentenced to 55 months for breaching the U.S. Capitol and threatening officers, prosecutors said.","A member of the Proud Boys extremist group who threatened police officers with an ax handle and breached the U.S. Capitol during the attack on Jan. 6, 2021, was sentenced on Friday to nearly five years in prison, federal prosecutors said.","{'main': 'Man Who Threatened Police With Ax Handle on Jan. 6 Gets Nearly 5 Years in Prison', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Storming of the US Capitol (Jan, 2021)', 'Right-Wing Extremism and Alt-Right', 'Threats and Threatening Messages', 'United States Politics and Government', 'Chrestman, William', 'Proud Boys', 'Justice Department', 'Kansas City (Kan)', 'Olathe (Kan)']",2024-01-13T00:51:13+0000,article,U.S.
"The military fired at a target in response to rising attacks on Red Sea shipping, which the Houthis linked to the war between Israel and Hamas.","The United States carried out another strike against the Houthi militia in Yemen, the U.S. Central Command said on Friday night, bombing a radar facility as part of an effort to further degrade the Iran-backed group’s ability to attack ships transiting the Red Sea.","{'main': 'U.S. Strikes Against Houthis in Yemen for Second Day, as Conflict Escalates', 'kicker': None, 'content_kicker': None, 'print_headline': 'U.S. Strikes Anew; Houthis Vow Attack', 'name': None, 'seo': None, 'sub': None}","['Israel-Gaza War (2023- )', 'War and Armed Conflicts', 'Ships and Shipping', 'United States Defense and Military Forces', 'United States International Relations', 'Defense and Military Forces', 'International Relations', 'Houthis', 'Hamas', 'Biden, Joseph R Jr', 'Yemen', 'Iran', 'Gaza Strip', 'Israel', 'Red Sea', 'Suez Canal', 'United States', 'Great Britain', 'Saudi Arabia', 'Egypt']",2024-01-13T01:00:22+0000,article,World
"A British advertising watchdog agency said it was reviewing complaints about a new, similarly steamy Calvin Klein campaign featuring the actor Jeremy Allen White.","Shortly after a British advertising watchdog group ruled that Calvin Klein posters showing the singer FKA twigs with part of her breast exposed “presented her as a stereotypical sexual object” and could not be shown in Britain, the singer denounced “double standards” on Instagram, an apparent reference to a new Calvin Klein campaign featuring the actor Jeremy Allen White.","{'main': 'FKA Twigs Assails ‘Double Standards’ After Her Calvin Klein Ad Is Banned in Britain', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Advertising and Marketing', 'Fashion and Apparel', 'Regulation and Deregulation of Industry', 'Indecency, Obscenity and Profanity', 'FKA twigs', 'White, Jeremy Allen', 'Calvin Klein Inc', 'Advertising Standards Authority', 'Great Britain']",2024-01-13T01:46:09+0000,article,Style
Gov. Ron DeSantis of Florida appears to have turned on many of the news outlets that once promoted his candidacy for the G.O.P. nomination for being unfair in their coverage.,"As the Iowa caucuses draw near, Gov. Ron DeSantis of Florida has increasingly focused on a peculiar target as he looks to win the Republican nomination: the conservative news media ecosystem that supports former President Donald J. Trump.","{'main': 'DeSantis, Once a Darling of Conservative News Media, Now Rails Against It', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['News and News Media', 'Presidential Election of 2024', 'Primaries and Caucuses', 'CNN', 'Fox News Channel', 'MSNBC', 'New York Post', 'DeSantis, Ron', 'Trump, Donald J', 'Urbandale (Iowa)']",2024-01-13T02:59:09+0000,article,U.S.
Hoang-Kim Vu’s latest themeless knocks solvers for a loop.,"SATURDAY PUZZLE — This is a really smooth, understated solve from Hoang-Kim Vu. It’s his second Saturday grid for The Times and ninth overall. He nimbly switches between themeless constructions like this one and themed puzzles, which might be flashier (I think his Monday puzzle from September was among the more memorable grids of 2023). However, this puzzle is loaded with charm — animal factoids, frothy love language, colorful expressions — and enough difficulty to make it satisfying to get through.","{'main': 'Smitten', 'kicker': 'Wordplay, The CROSSWORD COLUMN', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Crossword Puzzles', 'Vu, Hoang-Kim (Crossword Constructor)']",2024-01-13T03:00:09+0000,article,Crosswords & Games
"Quotation of the Day for Saturday, January 13, 2023.","“In the eyes of society, they don’t exist. They start to exist when you start to give them visibility.”","{'main': 'Quotation of the Day: Food Delivery Workers, Overlooked in Life, Are Honored in Death', 'kicker': None, 'content_kicker': None, 'print_headline': 'Quote of the Day', 'name': None, 'seo': None, 'sub': None}",[],2024-01-13T04:45:03+0000,article,Corrections
"Yemen’s Houthi militia, shaped by years of civil war, says that it welcomes a battle with the United States and that strikes will not stop its Red Sea attacks.",The explosions woke Ali Al-Sunaidar and his children in the middle of the night — a familiar feeling after years of war.,"{'main': 'U.S.-Led Strikes Leave Yemen Back on the Brink of War', 'kicker': None, 'content_kicker': None, 'print_headline': 'U.S.-Led Barrages Have Yemenis Worried They’re Back on the Brink of War', 'name': None, 'seo': None, 'sub': None}","['Israel-Gaza War (2023- )', 'International Relations', 'Defense and Military Forces', 'War and Armed Conflicts', 'Yemen', 'Red Sea', 'United States Defense and Military Forces', 'United States International Relations', 'Gaza Strip', 'Israel', 'Iran']",2024-01-13T05:01:25+0000,article,World
