abstract,lead_paragraph,headline,keywords,pub_date,document_type,section_name
All the best looks from the first major award show of the year.,"Celebrities streamed onto the lush red carpet to pose in front of the floral backdrop for the Golden Globes on Sunday night as the awards ceremony made a return to television (it wasn’t broadcast in 2022, and was moved to a Tuesday evening last year). ","{'main': '2024 Golden Globes: Photos From the Red Carpet', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Golden Globes (Awards)', 'Photography', 'Awards, Decorations and Honors', 'Box Office Sales', 'Movies']",2024-01-08T00:00:41+0000,article,Style
"Two days after a chunk of the fuselage blew out of one of the planes, the F.A.A. and the aircraft maker are still negotiating what to tell the airlines to do.","A Boeing passenger jet model, the 737 Max 9, remained grounded in the United States on Sunday as airlines awaited instructions from the plane maker and the Federal Aviation Administration on how to inspect the planes and resume service, two days after a harrowing flight raised concerns about the jet.","{'main': 'Boeing Max 9 Jets Remain Grounded as Airlines Await Inspection Instructions', 'kicker': None, 'content_kicker': None, 'print_headline': 'Boeing Jets Remaining On Ground', 'name': None, 'seo': None, 'sub': None}","['AIRLINES AND AIRPLANES', 'Aviation Accidents, Safety and Disasters', 'Delays (Transportation)', 'ALASKA AIRLINES', 'Boeing Company', 'Federal Aviation Administration', 'National Transportation Safety Board', 'United Airlines', 'Boeing 737 Max Groundings and Safety Concerns (2019)', 'Regulation and Deregulation of Industry', 'Spirit AeroSystems Inc']",2024-01-08T00:24:49+0000,article,Business Day
"Just a week after the law was allowed to take effect, a federal appeals court reinstated a lower court’s block on the ban.",California is barred again from enforcing its ban on guns in most public places after a federal appeals court ruled on Saturday that a lower court’s block on the ban should stand.,"{'main': 'California’s Ban on Guns in Most Public Places Is Blocked Again', 'kicker': None, 'content_kicker': None, 'print_headline': 'California Ban On Carrying Guns in Public Is Dealt a Blow', 'name': None, 'seo': None, 'sub': None}","['Firearms', 'Appeals Courts (US)', 'California']",2024-01-08T00:33:36+0000,article,U.S.
"After a section of the Alaska Airlines flight blew out of the plane, passengers described a mix of horror, confusion and eerie calm.","It felt like an explosion. Then the plane rattled, the oxygen masks dropped, and the lights flickered. A white vapor whipped through the cabin. Some people yelled. Others were disoriented.","{'main': 'The Frightful Minutes Aboard Flight 1282', 'kicker': None, 'content_kicker': None, 'print_headline': 'Passengers Aboard Flight Describe Scenes of Terror', 'name': None, 'seo': None, 'sub': None}","['AIRLINES AND AIRPLANES', 'Aviation Accidents, Safety and Disasters', 'ALASKA AIRLINES', 'Boeing Company', 'California', 'Murrieta (Calif)', 'Ontario (Calif)', 'Oregon', 'Portland (Ore)', 'Vancouver (Wash)']",2024-01-08T00:55:14+0000,article,U.S.
"The “Beef” star took home a Golden Globe, as did Steven Yeun, who starred alongside her.","Ali Wong’s character in the Netflix comedy “Beef” faced plenty of challenges and frustrations, but the actress herself was nothing less than triumphant on Sunday night. Wong made history by becoming the first actress of Asian descent to win a Golden Globe for best actress in the limited series or TV movie category.","{'main': 'Ali Wong Makes History as a Best Actress Winner', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Beef (TV Program)', 'Wong, Ali (1982- )', 'Yeun, Steven', 'Television', 'Golden Globes (Awards)']",2024-01-08T01:27:55+0000,article,Movies
"The comic’s monologue struck a far less provocative tone than last year’s host, Jerrod Carmichael.","In his opening monologue, Jo Koy made a return to the Hollywood tradition of mild celebrity teasing from the awards show stage, staying away from any mention of the Golden Globes’ recent troubled history involving race and ethics.","{'main': 'Jo Koy Sticks With Standard Celebrity Teasing in Opening Monologue', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Carmichael, Jerrod', 'Koy, Jo', 'Golden Globes (Awards)']",2024-01-08T01:41:40+0000,article,Movies
"The actress won for her performance as Bella, a Victorian-era woman who was brought back to life with the brain of a fetus.","Emma Stone won her second Golden Globe, for her performance in “Poor Things,” a comedy-drama riff on the Frankenstein legend. In the film, she plays Bella, a Victorian-era woman who was brought back to life with the brain of a fetus; her performance was widely praised by critics.","{'main': 'Emma Stone Wins Her Second Golden Globe, for ‘Poor Things’', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Golden Globes (Awards)', 'Poor Things (Movie)', 'Stone, Emma']",2024-01-08T02:42:31+0000,article,Arts
"In parts of New England and New York, residents and road crews removed snow as the first major snowstorm of the winter season hit the region.","In parts of New England and New York, residents and road crews removed snow as the first major snowstorm of the winter season hit the region.","{'main': 'Heavy Snow Falls in Northeast', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Snow and Snowstorms', 'Roads and Traffic', 'New England States (US)', 'Massachusetts', 'New York State', 'Northeastern States (US)']",2024-01-08T02:57:43+0000,multimedia,Climate
"Its stars, Jeremy White and Ayo Edebiri, also won for their acting roles.","Globe voters said “Yes, chef,” to “The Bear,” which beat out “Ted Lasso” and “Abbott Elementary” to win best comedy.","{'main': '‘The Bear’ Wins Best Comedy at the Golden Globes', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Television', 'The Bear (TV Program)', 'Edebiri, Ayo', 'White, Jeremy Allen', 'FX (TV Network)', 'Golden Globes (Awards)']",2024-01-08T03:17:33+0000,article,Movies
The star of “Killers of the Flower Moon” plays an Osage woman whose husband is part of a murderous conspiracy.,"In a history-making triumph, Lily Gladstone has become the first Indigenous person to win a Golden Globe for best actress, said a spokesman for the organization that hands out the awards.","{'main': 'Lily Gladstone Becomes First Indigenous Person to Win a Golden Globe for Best Actress', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Killers of the Flower Moon (Movie)', 'Gladstone, Lily', 'Actors and Actresses', 'Indigenous People', 'Golden Globes (Awards)', 'Movies']",2024-01-08T03:55:21+0000,article,Movies
