abstract,lead_paragraph,headline,keywords,pub_date,document_type,section_name
"The Pink Stuff, a home cleaning paste, went from total obscurity to viral sensation — and Walmart staple — thanks to one “cleanfluencer” and her legion of fans.","In 2018, The Pink Stuff was little more than a home cleaning product with a cute name. “The miracle cleaning paste,” as it said on every container, was sold by just two retail chains in Britain. At a factory near Birmingham, The Pink Stuff line operated for about two hours every month. That was plenty.","{'main': 'What Happens When TikTok Is Your Marketing Department', 'kicker': None, 'content_kicker': None, 'print_headline': 'When TikTok Becomes Your Marketing Team', 'name': None, 'seo': None, 'sub': None}","['Social Media', 'Cleansers, Detergents and Soaps', 'Advertising and Marketing', 'Instagram Inc', 'TikTok (ByteDance)', 'Star Brands Ltd', 'Great Britain', 'audio-neutral-informative']",2024-02-11T10:01:03+0000,article,Business Day
Two of the state’s largest church groups are teaming up in a rare effort they say is motivated by this year’s stakes and new voting restrictions in Georgia.,Two of the largest Black church groups in Georgia are formally uniting for the first time to mobilize Black voters in the battleground state ahead of the November presidential election.,"{'main': 'Black Churches in Georgia Unite to Mobilize Voters in a Key Battleground', 'kicker': None, 'content_kicker': None, 'print_headline': '2 Major Georgia Black Churches Unite in Drive to Turn Out Voters', 'name': None, 'seo': None, 'sub': None}","['Black People', 'Blacks', 'AFRICAN METHODIST EPISCOPAL CHURCH', 'Voting and Voters', 'Voting Rights, Registration and Requirements', 'Georgia', 'Jackson, Reginald T', 'United States Politics and Government']",2024-02-11T10:01:06+0000,article,U.S.
"The pop singer had to travel across the globe (and through time, in a sense) to make the game. She watched Travis Kelce and Kansas City beat San Francisco in overtime.","The Kansas City Chiefs won their third Super Bowl title in the last five seasons by beating the San Francisco 49ers in overtime, 25-22, on Sunday. While some N.F.L. players go their entire career without winning a championship, one of Kansas City’s newcomers came away a winner in their 13th game.","{'main': 'Taylor Swift’s Journey to Las Vegas Ends With Super Bowl Win', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Football', 'Super Bowl', 'National Football League', 'Swift, Taylor', 'Kelce, Travis', 'Kansas City Chiefs', 'San Francisco 49ers', 'Pop and Rock Music']",2024-02-11T10:01:07+0000,article,Style
"The bipartisan vote to advance the measure put it on track for passage, but its fate in the House remains uncertain amid stiff G.O.P. opposition, egged on by former President Donald J. Trump.","The Senate on Sunday pushed a $95 billion emergency aid bill for Ukraine and Israel past a critical hurdle, with a bipartisan vote that kept it on track for passage within days.","{'main': 'Ukraine-Israel Aid Bill Clears Critical Hurdle in the Senate', 'kicker': None, 'content_kicker': None, 'print_headline': 'In Bipartisan Vote, Senate Moves Forward on Ukraine-Israel Aid', 'name': None, 'seo': None, 'sub': None}","['United States Politics and Government', 'Israel-Gaza War (2023- )', 'Law and Legislation', 'Defense and Military Forces', 'Foreign Aid', 'Immigration and Emigration', 'Russian Invasion of Ukraine (2022)', 'Ukraine', 'Israel', 'Gaza Strip', 'Russia', 'Republican Party', 'Democratic Party', 'Senate', 'United States International Relations']",2024-02-11T10:01:26+0000,article,U.S.
"Over six terrible months, professors and administrators at Worcester Polytechnic Institute took on the unofficial role of counselors during a spate of campus suicides.","The first death happened before the academic year began. In July 2021, an undergraduate student at Worcester Polytechnic Institute was reported dead. The administration sent a notice out over email, with the familiar, thoroughly vetted phrasing and appended resources. Katherine Foo, an assistant professor in the department of integrative and global studies, felt especially crushed by the news. She taught this student. He was Chinese, and she felt connected to the particular set of pressures he faced. She read through old, anonymous course evaluations, looking for any sign she might have missed. But she was unsure where to put her personal feelings about a loss suffered in this professional context.","{'main': 'The Sunday Read: ‘The Unthinkable Mental Health Crisis That Shook a New England College’', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Colleges and Universities', 'Suicides and Suicide Attempts', 'Medicine and Health', 'Mental Health and Disorders', 'Worcester Polytechnic Institute', 'Massachusetts', 'New England States (US)']",2024-02-11T11:00:07+0000,article,Podcasts
"As supporters of Imran Khan lodge complaints of vote rigging in hopes of increasing their lead, his opponents are jockeying to form a government.",Imran Khan’s stunning performance in Pakistan’s national election has upended most traditional political forecasts in a country where leaders who run afoul of the powerful military rarely find electoral success.,"{'main': 'Election Shocker in Pakistan: Where the Country Goes From Here', 'kicker': None, 'content_kicker': None, 'print_headline': 'After Shocking Election Results, Parties Jockey to Seize Power', 'name': None, 'seo': None, 'sub': None}","['Voter Fraud (Election Fraud)', 'Politics and Government', 'Elections', 'Pakistan Muslim League-N', ""Pakistan People's Party"", 'Pakistan Tehreek-e-Insaf', 'Khan, Imran', 'Sharif, Nawaz', 'Sharif, Shahbaz', 'Pakistan']",2024-02-11T11:38:09+0000,article,World
"It was not the first time the technology had been used in Pakistan’s notably repressive election season, but this time it got the world’s attention.","Imran Khan, Pakistan’s former prime minister, has spent the duration of the country’s electoral campaign in jail, disqualified from running in what experts have described as one of the least credible general elections in the country’s 76-year history.","{'main': 'Imran Khan’s ‘Victory Speech’ From Jail Shows A.I.’s Peril and Promise', 'kicker': None, 'content_kicker': None, 'print_headline': 'A.I. Serves As Surrogate For Politician Behind Bars', 'name': None, 'seo': None, 'sub': None}","['Khan, Imran', 'Pakistan', 'Islamabad (Pakistan)', 'Politics and Government', 'Elections', 'Artificial Intelligence', 'Sharif, Nawaz', 'Social Media', 'Pakistan Tehreek-e-Insaf', 'Video Recordings, Downloads and Streaming']",2024-02-11T11:50:10+0000,article,World
"We explain the teams, the halftime show, the prop bets and more.","Nothing brings together more Americans — not awards shows, not television series finales, not even presidential debates — than the Super Bowl.","{'main': 'A Guide to the Super Bowl', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['internal-storyline-no', 'Super Bowl']",2024-02-11T12:21:45+0000,article,Briefing
"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","1. After looking closely at the image above (or at the full-size image), think about these three questions:","{'main': 'What’s Going On in This Picture? | Feb. 12, 2024', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",[],2024-02-11T13:00:02+0000,article,The Learning Network
The British monarch and Queen Camilla went for a brief walk to a church on the estate where they live. Buckingham Palace said last week that the king was being treated for an unspecified form of cancer.,"King Charles III on Sunday was seen publicly for the first time since Buckingham Palace announced last week that he was being treated for cancer, strolling into a church on the royal Sandringham estate where he has his residence.","{'main': 'King Charles Appears in Public for First Time Since Cancer Announcement', 'kicker': None, 'content_kicker': None, 'print_headline': 'King Charles Appears in Public for First Time Since Cancer Announcement', 'name': None, 'seo': None, 'sub': None}","['Cancer', 'Royal Families', 'Camilla, Queen Consort of the United Kingdom', 'Charles III, King of the United Kingdom', 'Great Britain']",2024-02-11T13:29:15+0000,article,World
The confusion and forgetfulness vividly described in the special counsel Robert Hur’s report are not going away.,"One of the most difficult conversations you can have in life is with a parent or peer who is becoming too old and infirm to work. Whether the infirmity is physical or mental, often your loved one is the last person to realize his own deficiencies, so he may interpret respectful, genuine concern as a personal attack.","{'main': 'Yes, Biden’s Age Matters', 'kicker': 'David French', 'content_kicker': None, 'print_headline': 'Yes, Biden’s Age Matters', 'name': None, 'seo': None, 'sub': None}","['Presidential Election of 2024', 'Polls and Public Opinion', 'Age, Chronological', 'Memory', 'Democratic Party', 'Biden, Joseph R Jr', 'Hur, Robert Kyoung']",2024-02-11T14:00:06+0000,article,Opinion
The politics around the N.F.L. have gotten weird. Jane Coaston and Charles C.W. Cooke discuss football’s appeal and what some on the right don’t get.,"More than 100 million people are expected to watch this Sunday’s Super Bowl between the Kansas City Chiefs and the San Francisco 49ers, most likely making it the year’s most-watched television broadcast — again. The National Football League is an American cultural behemoth: Ninety-three of 2023’s 100 most-watched television broadcasts were N.F.L. games.","{'main': 'What MAGA Influencers Are Missing About Football', 'kicker': 'Jane Coaston', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Cooke, Charles C W', 'Football', 'Conservatism (US Politics)', 'Conspiracy Theories', 'Kelce, Travis', 'Swift, Taylor', 'Right-Wing Extremism and Alt-Right', 'Content Type: Personal Profile']",2024-02-11T14:00:16+0000,article,Opinion
I used to resent his love for America. Now it’s what I miss most of all.,"The night before my father, Ronald Reagan, died, I listened to his breathing — ragged, thin. Nothing like that of the athletic man who rode horses, built fences at the ranch, constructed jumps from old phone poles, cut back shrubs along riding trails. Or of the man who lifted his voice to the overcast sky and said, “Mr. Gorbachev, tear down this wall.”","{'main': 'My Father, Ronald Reagan, Would Weep for America', 'kicker': 'Guest Essay', 'content_kicker': None, 'print_headline': 'My Father Would Weep for America', 'name': None, 'seo': None, 'sub': None}","['United States Politics and Government', 'Reagan, Ronald Wilson', 'Presidents and Presidency (US)']",2024-02-11T14:00:17+0000,article,Opinion
