abstract,lead_paragraph,headline,keywords,pub_date,document_type,section_name
Two bishops and 17 other clergymen were freed after Pope Francis drew attention to the government’s persecution in his New Year’s Day address.,"The Nicaraguan authorities said on Sunday that they had released 19 clergymen who had been jailed and handed them over to the Vatican, the latest development in the autocratic government’s longstanding persecution of the Roman Catholic Church.","{'main': 'After Criticism From Pope, Nicaragua Hands Jailed Clerics Over to Vatican', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Priests', 'Political Prisoners', 'Roman Catholic Church', 'Alvarez, Rolando', 'Ortega, Daniel', 'Nicaragua', 'Prisons and Prisoners']",2024-01-15T01:07:53+0000,article,World
"According to Customs and Border Protection, federal agents were “physically barred” by state officials from responding to the situation. Texas officials said that was “wholly inaccurate.”","Three migrants drowned in the Rio Grande by Eagle Pass, Texas, officials said Saturday, setting off a dispute among state and federal officials in what seemed to escalate the feud between the Biden administration and Gov. Greg Abbott over the stringent security measures the state has imposed to keep migrants from entering the country. ","{'main': '3 Migrants, Including 2 Children, Drown Near Texas Border', 'kicker': None, 'content_kicker': None, 'print_headline': '3 Migrants Drown Near a Recently Closed Border Entrance in Texas', 'name': None, 'seo': None, 'sub': None}","['Illegal Immigration', 'Federal-State Relations (US)', 'Immigration and Emigration', 'Border Patrol (US)', 'Customs and Border Protection (US)', 'Homeland Security Department', 'Abbott, Gregory W (1957- )', 'Biden, Joseph R Jr', 'Cuellar, Henry', 'Eagle Pass (Tex)', 'El Paso (Tex)', 'Mexico', 'Rio Grande Valley (Tex)', 'Texas']",2024-01-15T02:37:39+0000,article,U.S.
"The new season, starring Jodie Foster and Kali Reis, moves north of the Arctic Circle. Unsurprisingly, the crimes are as bleak and chilly as the setting.","In the absence of any other connective tissue, the “True Detective” series continues to move forward on bad vibes and attitude, a darker-than-dark noir ambience propped up by gruesome crimes, hard-living sleuths and philosophical discourse that dances on the edge of self-parody. When Evangeline Navarro (Kali Reis), a state trooper in the Arctic hinterland of Ennis, Alaska, is asked whether she believes in God, it doesn’t seem very “True Detective” for her to affirm that she does. “Must be nice,” says her inquisitor. “Knowing we’re not alone.”","{'main': '‘True Detective: Night Country’ Season Premiere Recap:', 'kicker': 'True Detective', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Television', 'True Detective (TV Program)']",2024-01-15T03:00:07+0000,article,Arts
"The bill would extend government funding through early March, teeing up a race to pass the bipartisan deal into law before an end-of-week deadline.","Congressional leaders unveiled stopgap legislation on Sunday to avert a partial government shutdown, teeing up a race to pass the bipartisan spending deal into law before a deadline at the end of the week.","{'main': 'Congressional Leaders Unveil Stopgap Bill to Head Off Shutdown', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Law and Legislation', 'United States Politics and Government', 'Shutdowns (Institutional)', 'Federal Budget (US)', 'House of Representatives', 'Senate', 'Republican Party', 'Johnson, Mike (1972- )', 'Schumer, Charles E']",2024-01-15T03:00:39+0000,article,World
"Republican voters will render a first verdict on the entreaties Donald J. Trump’s rivals have made to move the party past his grip, as he seeks a turbocharged launch to the nomination.",The coldest Iowa caucuses in history arrive Monday night amid expectations that Republicans in the state will put former President Donald J. Trump on the march to a third G.O.P. presidential nomination.,"{'main': 'What to Watch For in the 2024 Iowa Caucuses', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Presidential Election of 2024', 'Primaries and Caucuses', 'United States Politics and Government', 'Republican Party', 'DeSantis, Ron', 'Haley, Nikki R', 'Trump, Donald J', 'Iowa']",2024-01-15T05:01:23+0000,article,U.S.
Soaring rents have left many struggling to afford homes in Dublin and have created a generational divide. Two-thirds of younger adults in the city live with their parents.,"Before sunrise each day, Aoife Diver, a teacher in Dublin, gets into her car and drives for up to 90 minutes from her uncle’s house to the opposite side of the Irish capital.","{'main': '‘The Social Contract Has Been Completely Ruptured’: Ireland’s Housing Crisis', 'kicker': None, 'content_kicker': None, 'print_headline': 'Ireland’s Housing Crisis Is Pricing Workers Out of the Places They Serve', 'name': None, 'seo': None, 'sub': None}","['Dublin (Ireland)', 'Income Inequality', 'Real Estate and Housing (Residential)', 'Public and Subsidized Housing', 'Affordable Housing', 'Homeless Persons', 'Landlords', 'Immigration and Emigration', 'Renting and Leasing (Real Estate)', 'Evictions', 'Europe', 'Great Britain', 'Ireland']",2024-01-15T05:01:51+0000,article,World
"As a proliferation of pools threatens some water supplies and housing costs skyrocket, people of the Cycladic islands say the Aegean islands’ character is being lost to real-estate homogenization.","With a deluge of foreign visitors fueling seemingly nonstop development on once pristine Greek islands, local residents and officials are beginning to fight back, moving to curb a wave of construction that has started to cause water shortages and is altering the islands’ unique cultural identity.","{'main': 'As Development Alters Greek Islands’ Nature and Culture, Locals Push Back', 'kicker': None, 'content_kicker': None, 'print_headline': 'As Sprawl From Tourism Alters Islands’ Character, Greeks Fight for Culture', 'name': None, 'seo': None, 'sub': None}","['Conservation of Resources', 'Real Estate (Commercial)', 'Travel and Vacations', 'Hotels and Travel Lodgings', 'Local Government', 'Mykonos (Greece)', 'Paros (Greece)', 'Cyclades Islands', 'Greece']",2024-01-15T05:01:51+0000,article,World
100 days of war in Gaza.,"The war in Gaza has entered its 100th day. Since Hamas led its deadly Oct. 7 assault on Israel, more than 23,000 Palestinians have been killed in Gaza and most of the enclave’s population has been displaced by the Israeli military’s war, according to Gazan health officials. More than 120 hostages are believed to be held by Hamas and other militant groups, according to Israeli officials.","{'main': 'Monday Briefing', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",[],2024-01-15T05:09:02+0000,article,Briefing
"In Iowa and other states, Republican voters have the opportunity and the obligation to select a presidential candidate who will uphold the rule of law.","Republicans who will gather to cast the first votes of the 2024 presidential primary season have one essential responsibility: to nominate a candidate who is fit to serve as president, one who will “preserve, protect and defend the Constitution of the United States.”","{'main': 'The Responsibility of Republican Voters', 'kicker': 'The Editorial Board', 'content_kicker': None, 'print_headline': 'The Responsibility of Republican Voters', 'name': None, 'seo': None, 'sub': None}","['Presidential Election of 2024', 'United States Politics and Government', 'Trump, Donald J', 'Iowa', 'United States', 'Primaries and Caucuses', 'Republican Party']",2024-01-15T06:00:09+0000,article,Opinion
"Quotation of the Day for Monday, January 15, 2024.","“You get mad with yourself, then you get mad because you got mad with yourself.”","{'main': 'Quotation of the Day: ‘The Kindest Player,’ Who Can Turn Into a Madman, Is Searching for Peace', 'kicker': None, 'content_kicker': None, 'print_headline': 'Quote of the Day', 'name': None, 'seo': None, 'sub': None}",[],2024-01-15T06:00:12+0000,article,Corrections
