abstract,lead_paragraph,headline,keywords,pub_date,document_type,section_name
"“He ran a really good campaign,” Donald Trump said of Ron DeSantis, who dropped out of the presidential race and backed Mr. Trump earlier on Sunday.","Former President Donald J. Trump on Sunday thanked Gov. Ron DeSantis of Florida for endorsing him after suspending his campaign, calling Mr. DeSantis — once a top rival whom Mr. Trump spent significant time bashing in his speeches — “gracious.”","{'main': 'Trump Thanks DeSantis for Endorsement, Calling Him ‘Gracious’', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Trump, Donald J', 'DeSantis, Ron', 'Presidential Election of 2024', 'Endorsements', 'Primaries and Caucuses', 'Republican Party']",2024-01-22T00:56:46+0000,article,U.S.
"“That name is officially retired,” Donald Trump declared after Gov. Ron DeSantis of Florida ended his campaign and endorsed the former president.",It didn’t take long. ,"{'main': '‘DeSanctimonious’ No More: Trump Says He’ll Drop Ex-Rival’s Nickname', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Presidential Election of 2024', 'DeSantis, Ron', 'Trump, Donald J']",2024-01-22T01:31:58+0000,article,U.S.
"Mr. Gail was known for his role as Stuart Carson on Season 4 of “Beverly Hills, 90210” and had dozens of other television show credits in the 1990s.","David Gail, who played Dr. Joe Scanlon on the ABC soap opera “Port Charles” and appeared on “Beverly Hills, 90210,”  died on Tuesday. He was 58.","{'main': 'David Gail of ‘Beverly Hills, 90210’ Dies at 58', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Television', 'Deaths (Obituaries)', 'Soap Operas', 'Actors and Actresses', 'Nineteen Hundred Nineties']",2024-01-22T02:55:08+0000,article,Arts
The couple’s relationship became public after Mr. Scott’s final turn on the debate stage. He proposed on Saturday.,"Senator Tim Scott of South Carolina, who for years faced speculation about his marital status, on Saturday proposed to Mindy Noce, his girlfriend and an interior designer who lives in Charleston. She said yes.","{'main': 'G.O.P. Voters Said No to Tim Scott. His Girlfriend Said Yes.', 'kicker': None, 'content_kicker': None, 'print_headline': 'G.O.P.’s Scott Announces Engagement To Designer', 'name': None, 'seo': None, 'sub': None}","['Scott, Timothy Eugene', 'Republican Party', 'United States Politics and Government', 'Presidential Election of 2024', 'Weddings and Engagements']",2024-01-22T02:55:51+0000,article,U.S.
"This week’s installment offered a lot of strong procedural work, suggesting that the season’s central mystery isn’t purely supernatural but can be solved.","During last week’s episode, as Liz and her team were puzzling over the sudden disappearance of eight scientists at the Tsalal Research Station, Hank mused, “Just the third day of darkness and it’s already getting weird.” Based on some of the mysterious events we witnessed that episode, like the gyrating spirit that leads Rose to a grisly tableaux of frozen bodies, a word like “weird” seems woefully insufficient. One question we might have asked ourselves was whether “Night Country” would become a genuine ghost story or a hybrid, blending the noir sleuthing of previous “True Detective” seasons with mere intimations of the supernatural.","{'main': '‘True Detective’ Season 4, Episode 2 Recap: ‘Corpsicle’', 'kicker': 'True Detective', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Television', 'True Detective (TV Program)']",2024-01-22T03:01:05+0000,article,Arts
"Planes struggled to stick their landings, as Storm Isha brought powerful winds across Britain.","Planes struggled to stick their landings, as Storm Isha brought powerful winds across Britain.","{'main': 'Winter Storm Makes Landings Difficult at Heathrow', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['AIRLINES AND AIRPLANES', 'Wind', 'Heathrow Airport (London, England)', 'Great Britain']",2024-01-22T03:54:05+0000,multimedia,World
"Quotation of the Day for Monday, January 22, 2024.","“I bring them salt, cookies and love.”","{'main': 'Quotation of the Day: Fading Swiss Glaciers Force Traditions to Bend', 'kicker': None, 'content_kicker': None, 'print_headline': 'Quote of the Day', 'name': None, 'seo': None, 'sub': None}",[],2024-01-22T04:03:50+0000,article,Corrections
"No corrections appeared in print on Monday, Jan. 22, 2024.","Errors are corrected during the press run whenever possible, so some errors noted here may not have appeared in all editions.","{'main': 'No Corrections: Jan. 22, 2024', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",[],2024-01-22T04:04:20+0000,article,Corrections
The temple inaugurated by the prime minister is on the disputed site of a centuries-old mosque destroyed in a Hindu mob attack that set a precedent of impunity in cases of violence against Muslims.,"They fanned out across the vast country, knocking on doors in the name of a cause that would redefine India.","{'main': 'Modi Opens a Giant Temple in a Triumph for India’s Hindu Nationalists', 'kicker': None, 'content_kicker': None, 'print_headline': 'A New Temple Embodies Modi’s Merger of Religion and Politics', 'name': None, 'seo': None, 'sub': None}","['Hinduism', 'Religion and Belief', 'Politics and Government', 'Temples (Religious)', 'Muslims and Islam', 'Nationalism (Theory and Philosophy)', 'Bharatiya Janata Party', 'Rashtriya Swayamsevak Sangh (India)', 'Modi, Narendra', 'Ayodhya (India)']",2024-01-22T05:20:20+0000,article,World
"Its site is sacred to Hindus, and it also represents the much more recent victory of Hinduism as a political identity.","Prime Minister Narendra Modi inaugurated a gigantic new temple in the Indian city of Ayodhya on Monday, concluding a long campaign in which Hindu nationalists tore down a centuries-old mosque and replaced it with a structure devoted to the Hindu deity Ram.","{'main': 'Why India’s New Ram Temple Is So Important', 'kicker': None, 'content_kicker': None, 'print_headline': 'Why India’s New Hindu Temple Is Important, and Controversial', 'name': None, 'seo': None, 'sub': None}","['Hinduism', 'Places of Worship', 'Mosques', 'Religion and Belief', 'Politics and Government', 'Religion-State Relations', 'Temples (Religious)', 'Muslims and Islam', 'Bharatiya Janata Party', 'Modi, Narendra', 'Ayodhya (India)']",2024-01-22T05:26:35+0000,article,World
