abstract,lead_paragraph,headline,keywords,pub_date,document_type,section_name
"At least five board members resigned and said that Michael T. Flynn, the former national security adviser for President Trump, should not be recognized.","At least five board members who oversee the Rhode Island Heritage Hall of Fame have resigned from the organization after Michael T. Flynn, the former national security adviser under Donald J. Trump, was chosen to be inducted in 2024.","{'main': 'Michael Flynn’s Rhode Island Hall of Fame Inclusion Prompts Resignations', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Halls of Fame', 'Boards of Directors', 'Appointments and Executive Changes', 'Flynn, Michael T', 'Trump, Donald J', 'Rhode Island', 'Ethics and Official Misconduct', 'United States Politics and Government']",2023-12-27T00:07:53+0000,article,U.S.
"Amid global pressure to reach a cease-fire and fears of a widening regional war, Israel says it will continue to fight in Gaza until Hamas is defeated.","Israel insisted on Tuesday that its war in Gaza would not end soon and pledged to complete its mission of dismantling Hamas no matter how long it took, despite widespread international calls for a cease-fire.","{'main': 'Israel Will Not Soon End Its War With Hamas, Officials Say', 'kicker': None, 'content_kicker': None, 'print_headline': '‘We Are Not Stopping’: Netanyahu Stays Defiant Amid Global Criticism', 'name': None, 'seo': None, 'sub': None}","['Israel-Gaza War (2023- )', 'Politics and Government', 'Defense and Military Forces', 'International Relations', 'United States International Relations', 'Netanyahu, Benjamin', 'Hamas', 'Gaza Strip', 'Israel', 'Biden, Joseph R Jr', 'Dermer, Ron', 'Iran', 'Iraq', 'Syria', 'Lebanon']",2023-12-27T00:17:53+0000,article,World
"The campaign’s abrupt shift, focusing on other voter outreach efforts, reflects a significant change in strategy less than three weeks before the Iowa caucuses.","Vivek Ramaswamy, the wealthy entrepreneur seeking the Republican Party’s presidential nomination, has stopped spending money on cable television ads, a campaign representative said on Tuesday.","{'main': 'Vivek Ramaswamy Stops TV Ad Spending', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Ramaswamy, Vivek (1985- )', 'Primaries and Caucuses', 'Presidential Election of 2024', 'Republican Party', 'Iowa', 'Political Advertising', 'Cable Television']",2023-12-27T01:29:34+0000,article,U.S.
Thousands of young Ukrainians were separated from their parents by the Russian authorities in the early stages of the war. They are among the most forlorn victims of the invasion.,Thousands of young Ukrainians were separated from their parents by the Russian authorities in the early stages of the war. They are among the most forlorn victims of the invasion.,"{'main': 'Ukraine’s Stolen Children', 'kicker': None, 'content_kicker': None, 'print_headline': 'Ukraine’s Stolen Children', 'name': None, 'seo': None, 'sub': None}","['Russian Invasion of Ukraine (2022)', 'War Crimes, Genocide and Crimes Against Humanity', 'Ukraine', 'Russia']",2023-12-27T01:47:24+0000,multimedia,World
Kareem Ayas makes his New York Times debut.,Jump to: Today’s Theme | Tricky Clues,"{'main': 'Blue Material', 'kicker': 'wordplay, the crossword column', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Crossword Puzzles', 'Games']",2023-12-27T03:00:10+0000,article,Crosswords & Games
"Esteban Esono-Asue uttered an anti-white slur before attacking two sisters from Paraguay who were on a family trip to New York, officials said.","A Bronx man faces charges of attempted murder and assault as hate crimes after using an anti-white slur before stabbing two teenage sisters at a restaurant in Grand Central Terminal on Christmas Day, according to officials and court records.","{'main': 'Man Charged With Hate Crimes in Stabbing of 2 Teens at Grand Central', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Hate Crimes', 'Assaults', 'Murders, Attempted Murders and Homicides', 'Grand Central Terminal (Manhattan, NY)']",2023-12-27T03:09:22+0000,article,New York
Gator takes matters into his own hands. Dot takes a drive. Wayne takes a trade-in.,"After eight episodes of frolicking in a Coen-ized version of gangland Kansas City in the early 1950s, the last season of “Fargo” shifted audaciously to a black-and-white homage to “The Wizard of Oz,” complete with a tornado as deus ex machina. Having already moved the show out of the Coens’ Minnesota and North Dakota, its creator, Noah Hawley, gave himself the license to claim another patch of Heartland terrain, as if advancing across a Risk board. The Coens had ended “A Serious Man” with a tornado, too, so it wasn’t even that off brand.","{'main': '‘Fargo’ Season 5, Episode 7: Not Your Puppet', 'kicker': 'Fargo', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Television', 'Fargo (TV Program)']",2023-12-27T04:00:07+0000,article,Arts
"Quotation of the Day for Wednesday, December 27, 2023.",“It is not a standard car like any other.”,"{'main': 'Quotation of the Day: Rusted or Mended With Love, Beetles Are Part of the Family', 'kicker': None, 'content_kicker': None, 'print_headline': 'Quote of the Day', 'name': None, 'seo': None, 'sub': None}",[],2023-12-27T04:09:59+0000,article,Corrections
"Corrections that appeared in print on Wednesday, Dec. 27, 2023.","An article on Sunday about the rise of net migration to Britain since its exit from the European Union incorrectly described the role of the Conservative Party in the Brexit campaign. It was the party’s Brexit-supporting lawmakers, including the current prime minister, who played on fears of a foreign influx, not the entire Conservative Party.","{'main': 'Corrections: Dec. 27, 2023', 'kicker': None, 'content_kicker': None, 'print_headline': 'Corrections', 'name': None, 'seo': None, 'sub': None}",[],2023-12-27T04:10:09+0000,article,Corrections
"Workers seeking a collective agreement from the automaker say they are pushing for their rights, but car owners see them as taking the fight too far.",The Tesla technicians who walked off their jobs in Sweden say they still support the mission of the American company and its headline-grabbing chief executive. But they also want Tesla to accept the Swedish way of doing business.,"{'main': 'Tesla Strike Is a Culture Clash: Swedish Labor vs. American Management', 'kicker': None, 'content_kicker': None, 'print_headline': 'In Sweden, Tesla Strike Highlights Labor Clash', 'name': None, 'seo': None, 'sub': None}","['Tesla Motors Inc', 'Sweden', 'Strikes', 'Organized Labor', 'Musk, Elon', 'Electric and Hybrid Vehicles', 'Automobiles', 'IF Metall', 'Factories and Manufacturing']",2023-12-27T05:00:22+0000,article,Business Day
Israel predicts “many more months” of war.,"Israel is focusing its military efforts in the southern region of Gaza and expects the war to continue for “many more months,” Lt. Gen. Herzi Halevi, the Israeli military chief of staff, said. More than 1.7 million displaced Gazans are registered in shelters in the south, including many who are sleeping along roads and in open spaces. Food and water are scarce.","{'main': 'Wednesday Briefing', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",[],2023-12-27T05:15:02+0000,article,Briefing
"Mr. Lee, a familiar face on Korean television and movie screens, rose to international fame after starring in the Oscar-winning film.","Lee Sun-kyun, the award-winning South Korean actor who rose to international fame after starring in the Oscar-winning film “Parasite,” was found dead in Seoul on Wednesday. He was 48.","{'main': 'Lee Sun-kyun, ‘Parasite’ Actor, Found Dead at 48', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Lee Sun-kyun (1975- )', 'Deaths (Obituaries)', 'Parasite (Movie)', 'South Korea', 'Movies', 'Actors and Actresses']",2023-12-27T07:09:45+0000,article,World
"After a market rout, gaming companies like Tencent and Netease rallied on signals that regulators might apply proposed curbs on users less harshly than feared.",The stock prices of Chinese video game companies rebounded Wednesday after investors seized on signals that the government was having second thoughts about proposed regulations on gaming.,"{'main': 'Will China Ease Its New Video Game Controls? Investors Think So.', 'kicker': None, 'content_kicker': None, 'print_headline': 'Signs China  May Ease Up  On Gaming', 'name': None, 'seo': None, 'sub': None}","['Regulation and Deregulation of Industry', 'Computer and Video Games', 'Foreign Investments', 'Computers and the Internet', 'Stocks and Bonds', 'Media', 'E-Commerce', 'Tencent Holdings Ltd', 'China', 'Netease.com Inc']",2023-12-27T07:56:49+0000,article,Business Day
In case you need some puzzle help.,"Good morning, dear connectors. Welcome to today’s Connections forum, where you can give and receive puzzle — and emotional — support.","{'main': 'The Connections Companion', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Crossword Puzzles', 'Connections (Game)']",2023-12-27T08:00:03+0000,article,Crosswords & Games
Feeling stuck on today’s puzzle? We can help.,"Hi busy bees! Welcome to today’s Spelling Bee forum. There are a number of terms that appear in both this article and other online discussions of the Spelling Bee; a glossary of those terms compiled by Monicat, a Times reader, can be found below.","{'main': 'Spelling Bee Forum', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",['Spelling Bee (Game)'],2023-12-27T08:00:09+0000,article,Crosswords & Games
Stories evolve. But a recent review proved to a theater critic that people can change even more.,I wasn’t sure whether I wanted to do my job.,"{'main': 'For a Times Critic on Deadline, a Dramatic Reversal', 'kicker': 'Times Insider', 'content_kicker': None, 'print_headline': 'A Critic’s Dramatic Reversal, on Deadline', 'name': None, 'seo': None, 'sub': None}","['Theater', 'Appropriate (Play)']",2023-12-27T08:00:12+0000,article,Times Insider
"About 3,500 migrant families in New York City shelters have received eviction notices. Children will have to change schools or face long commutes.","Since last summer, tens of thousands of migrant families living in homeless shelters have enrolled children in New York City schools. Their arrival buoyed the system, which had been losing students, prompting the mayor to declare that “public schools are back.”","{'main': 'Shelter Evictions Will Damage Migrant Children, Schools Warn', 'kicker': None, 'content_kicker': None, 'print_headline': 'Shelter Evictions Will Damage Migrant Children, Schools Warn', 'name': None, 'seo': None, 'sub': None}","['Immigration and Emigration', 'Immigration Detention', 'Education (K-12)', 'Children and Childhood', 'Homeless Persons', 'Politics and Government', 'Education Department (NYC)', 'Adams, Eric L', 'New York City']",2023-12-27T08:01:10+0000,article,New York
"“There is not a group of people better at organizing than a bunch of nerds,” said a worker at one of New York City’s cafes catering to the Dungeons & Dragons crowd.","A golden glow illuminated the employees huddled inside a Hex & Co. cafe on the Upper East Side, a haven created for board game enthusiasts to gather for fantastical quests.","{'main': 'Board Game Cafe Workers Went on a Quest for a Union and Won', 'kicker': None, 'content_kicker': None, 'print_headline': 'They’ve Slain Dragons Together. Now They Can Bargain Together.', 'name': None, 'seo': None, 'sub': None}","['Organized Labor', 'Cards and Card Games', 'Games', 'Coffeehouses', 'Wages and Salaries', 'Workplace Environment', 'Uncommons, The (Manhattan, NY, Restaurant)', 'Workers United', 'National Labor Relations Board', 'New York City', 'Hex & Co (Manhattan, NY, Restaurant)', 'Brooklyn Strategist (Brooklyn, NY, Restaurant)']",2023-12-27T08:01:10+0000,article,New York
"Transgender people have turned to games, some with robust character creators, as places where they can safely express themselves.","Nearly a decade before Anna Anthropy came out as a transgender woman, she was wearing a dress in the world of Animal Crossing on the Nintendo GameCube, leaving virtual bread crumbs for her family about information she was not prepared to share as a teenager.","{'main': 'Video Games Let Them Choose a Role. Their Transgender Identities Flourished.', 'kicker': None, 'content_kicker': None, 'print_headline': 'In a Game, There Are New Selves To Reveal', 'name': None, 'seo': None, 'sub': None}","['Computer and Video Games', 'Transgender']",2023-12-27T10:00:22+0000,article,Arts
"Here are some of our favorite moves to help you feel strong and age well, no matter your fitness level.","Finding a reliable, enjoyable way to stay fit can be a bit overwhelming. Should you do Crossfit, Pilates or pickleball? Is Zumba still a thing? Does running to catch the bus count as exercise?","{'main': '12 Workouts to Try in 2024', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Content Type: Service', 'Exercise', 'Longevity']",2023-12-27T10:02:36+0000,article,Well
