abstract,lead_paragraph,headline,keywords,pub_date,document_type,section_name
Maine found Donald Trump ineligible to hold office because of his actions after the 2020 election. California said his name would remain on the ballot there.,Maine on Thursday became the second state to bar Donald J. Trump from its primary election ballot after its top election official ruled that the former president’s efforts to remain in power after the 2020 election rendered him ineligible to hold office again.,"{'main': 'Maine Joins Colorado in Finding Trump Ineligible for Primary Ballot', 'kicker': None, 'content_kicker': None, 'print_headline': 'Maine Decides Trump Isn’t Fit For Its Primary', 'name': None, 'seo': None, 'sub': None}","['Presidential Election of 2024', 'Fourteenth Amendment (US Constitution)', 'Maine', 'Bellows, Shenna', 'Colorado', 'Primaries and Caucuses', 'United States Politics and Government', 'Constitution (US)', 'Suits and Litigation (Civil)', 'Trump, Donald J', 'Supreme Court (US)', 'Presidential Election of 2020', 'Storming of the US Capitol (Jan, 2021)']",2023-12-29T00:01:11+0000,article,U.S.
The Rev. William J. Barber II was trying to watch “The Color Purple” with his mother when theater staff told him he could not use a chair he needs to help manage a painful condition.,"AMC Theaters has apologized to the Rev. William J. Barber II, a civil rights leader, after he was escorted from a Greenville, N.C., theater after employees refused to allow him to use a chair he needs to manage a painful medical condition, he said.","{'main': 'AMC Theaters Apologizes to Civil Rights Leader Removed From Movie Theater', 'kicker': None, 'content_kicker': None, 'print_headline': 'Rights Leader Gets Apology For Removal From Theater', 'name': None, 'seo': None, 'sub': None}","['Civil Rights and Liberties', 'AMC Entertainment Holding Inc', 'Disabilities', 'Black People', 'Blacks', 'Police', 'North Carolina', 'The Color Purple (Movie)', 'Winfrey, Oprah']",2023-12-29T00:53:11+0000,article,U.S.
"Along the coast, residents on Thursday saw waves that topped 30 feet and flooded beachfront neighborhoods in some areas.","Giant waves pounded the coast of California on Thursday, causing big headaches, closing beaches and toppling some people who watched the unusual waterfront show.","{'main': 'Giant Waves Close Out California’s Remarkable Year of Weather Phenomena', 'kicker': None, 'content_kicker': None, 'print_headline': 'California’s Year of Weather Tops Off With Giant Waves', 'name': None, 'seo': None, 'sub': None}","['California', 'Coastal Areas', 'Weather', 'Tidal Waves and Tsunamis', 'Half Moon Bay (Calif)', 'Santa Cruz (Calif)', 'Stinson Beach (Calif)', 'Ventura (Calif)']",2023-12-29T00:55:42+0000,article,U.S.
The Israeli military said it was “working to draw lessons” from an attack in central Gaza that was reported to have killed dozens of people.,"The Israeli military said on Thursday that it had caused “unintended harm” to “uninvolved civilians” in two strikes this week on a densely packed Gaza Strip neighborhood, where, the local health authorities said, dozens were killed.","{'main': 'Israel Expresses Regret for ‘Unintended Harm’ to Civilians in Gaza Airstrike', 'kicker': None, 'content_kicker': None, 'print_headline': 'Israel Admitting Fault In 2 Strikes Hitting Civilians', 'name': None, 'seo': None, 'sub': None}","['Israel-Gaza War (2023- )', 'Israel', 'Defense and Military Forces', 'Gaza Strip', 'Palestinians', 'Civilian Casualties', 'Deaths (Fatalities)', 'Supreme Court of Israel', 'Netanyahu, Benjamin', 'Politics and Government', 'Law and Legislation', 'Hamas', 'Terrorism']",2023-12-29T01:00:13+0000,article,World
"Kimberlee Singler, 35, was found injured at an apartment last week with the bodies of two of her children, 9 and 7, the police said. Her 11-year-old daughter was also found injured, they said.","The police are searching for a 35-year-old woman charged with murdering two of her children, ages 9 and 7, and injuring a third, age 11, at an apartment in Colorado Springs, Colo., last week, the authorities said Thursday.","{'main': 'Colorado Springs Police Search for Mother in Death of Two Children', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Murders, Attempted Murders and Homicides', 'Fugitives', 'Singler, Kimberlee', 'Colorado', 'Colorado Springs (Colo)']",2023-12-29T01:29:32+0000,article,U.S.
"Steven Hutcherson, who was charged in the stabbings of two teenage sisters on Christmas Day, slashed a detainee on Rikers Island three days later, the authorities said.","A Bronx man facing attempted murder charges after he stabbed two girls at Grand Central Terminal on Christmas Day slashed a fellow Rikers Island detainee in the head and face on Thursday, seriously injuring him, according to Correction Department officials.","{'main': 'Man Charged in Grand Central Stabbings Slashed Inmate, Officials Say', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Murders, Attempted Murders and Homicides', 'Assaults', 'Stations and Terminals (Passenger)', 'Prisons and Prisoners', 'Grand Central Terminal (Manhattan, NY)', 'Rikers Island Prison Complex']",2023-12-29T02:35:36+0000,article,New York
Happy Robyn Weintraub Friday! Please celebrate responsibly.,Jump to: Tricky Clues,"{'main': 'Raspberry Relative', 'kicker': 'wordplay, the crossword column', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Crossword Puzzles', 'Games']",2023-12-29T03:00:08+0000,article,Crosswords & Games
"David Balton and Jane Stewart’s puzzle almost makes you give up before you even start, but you can do it.","ACROSTIC — Today’s passage, by that paragon of American satire, Mark Twain, originally appeared in The Territorial Enterprise, a newspaper in Virginia City, Nev., on Jan. 1, 1863. There’s a reason modern funny people receive a prize with his name; Twain’s gift for skewering any subject without losing his charm was magic and still “kills” after 160 years. The excerpt is about humanity’s unfailing annual efforts to overcome vice and embrace virtue, and how quickly they, well, fail. (Twain gives them a life span of about a month.)","{'main': 'Variety: Acrostic', 'kicker': 'Sunday Variety Column', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Balton, David (Crossword Constructor)', 'Stewart, Jane (Crossword Constructor)', 'Twain, Mark']",2023-12-29T03:02:01+0000,article,Crosswords & Games
"Ron DeSantis and Vivek Ramaswamy were quick to take swipes at the secretary of state’s ballot decision, while the state’s congressional delegation appeared split on the matter.","Former President Donald J. Trump’s rivals in the Republican race for president again lined up in his defense on Thursday after Maine barred him from its primary election ballot, the second state to do so.","{'main': 'Trump Rivals Criticize Maine Decision in His Defense', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Trump, Donald J', 'Christie, Christopher J', 'Collins, Susan M', 'DeSantis, Ron', 'Golden, Jared', 'Pingree, Chellie', 'Maine', 'Republican Party', 'Presidential Election of 2024', 'United States Politics and Government', 'Primaries and Caucuses', 'Storming of the US Capitol (Jan, 2021)']",2023-12-29T03:30:24+0000,article,U.S.
There are lawsuits pending in more than a dozen states seeking to have Donald J. Trump disqualified from appearing on primary ballots.,"The campaign to have former President Donald J. Trump removed from the ballot over his efforts to remain in power after the 2020 election has kicked into high gear, with decisions in two states, Maine and Colorado, barring him from the primary ballots.","{'main': 'What to Know About the Efforts to Remove Trump From the 2024 Ballot', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Trump, Donald J', 'Presidential Election of 2024', 'Storming of the US Capitol (Jan, 2021)', 'Presidential Election of 2020', 'Fourteenth Amendment (US Constitution)', 'States (US)', 'Primaries and Caucuses', 'Republican Party', 'Suits and Litigation (Civil)', 'Supreme Courts (State)', 'Supreme Court (US)', 'United States Politics and Government', 'Colorado', 'Maine']",2023-12-29T04:35:37+0000,article,U.S.
