abstract,lead_paragraph,headline,keywords,pub_date,document_type,section_name
"The journalists were covering the aftermath of airstrikes at a U.N. school-turned-shelter in Khan Younis. The bureau chief’s wife, son, daughter and grandson had been killed in October.","An Al Jazeera cameraman was killed and the network’s Arabic-language Gaza Strip bureau chief was wounded on Friday during an attack in southern Gaza, Al Jazeera said, the latest in a long string of journalist casualties in the war.","{'main': 'Al Jazeera Cameraman Killed and Bureau Chief Injured in Gaza', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Gaza Strip', 'Israel', 'Khan Younis (Gaza Strip)', 'al-Dahdouh, Wael', 'AL JAZEERA', 'Committee to Protect Journalists', 'Israel-Gaza War (2023- )']",2023-12-16T00:25:11+0000,article,World
Officials said the inspector had “misdiagnosed” as a “decorative” element a column that was holding up the seven-story building.,"An engineer who oversaw inspections of a Bronx apartment building that partially collapsed on Monday “misdiagnosed” a column that was holding up the building, calling it a “decorative” element in plans he filed in June, city officials said Friday.","{'main': 'New York Suspends Engineer Who Inspected Bronx Building That Collapsed', 'kicker': None, 'content_kicker': None, 'print_headline': 'City Inspector Who Assessed Bronx Building Is Punished', 'name': None, 'seo': None, 'sub': None}","['Accidents and Safety', 'Buildings (Structures)', 'Engineering and Engineers', 'Bronx (NYC)', 'Adams, Eric L', 'Oddo, James S']",2023-12-16T00:54:03+0000,article,New York
"“We’re not here to tell anybody, ‘You must do X, you must do Y,’” the national security adviser said. His visit came as the Israeli military said it had accidentally killed three Israeli hostages.","Days after President Biden said Israel was losing support for its military campaign in the Gaza Strip, the president’s national security adviser, Jake Sullivan, on Friday played down differences between the two allies after meetings with Israel’s top leaders.","{'main': 'In Israel, U.S. Aide Denies Talk of a Rift Over Gaza War', 'kicker': None, 'content_kicker': None, 'print_headline': 'U.S. Aide Tamps Down Biden’s Gaza Remarks', 'name': None, 'seo': None, 'sub': None}","['Israel-Gaza War (2023- )', 'International Relations', 'Palestinians', 'United Nations', 'Hamas', 'Houthis', 'Sullivan, Jacob J (1976- )', 'Gaza Strip', 'Israel', 'United States', 'Red Sea', 'United States International Relations', 'Defense and Military Forces', 'Kidnapping and Hostages', 'Ships and Shipping', 'Kerem Shalom', 'A P Moller-Maersk', 'Biden, Joseph R Jr', 'Netanyahu, Benjamin', 'Gulf of Aden', 'Yemen', 'AFRICA']",2023-12-16T01:00:15+0000,article,World
Can you sort 8 historical events?,Can you sort 8 historical events?,"{'main': 'Flashback: Your Weekly History Quiz, December 17, 2023', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['internal-paywall-exempt', 'Content Type: Quiz']",2023-12-16T01:42:22+0000,multimedia,The Upshot
Amy O’Rourke works the seafood counter at a busy suburban grocery store. We spent the day with her to see how she gets everything done.,"It’s easy to take the grocery store for granted. After all, there’s nothing particularly remarkable about the mundane task of picking up our weekly bread, fruit and cereal. Yet each store requires dozens and often hundreds of people to run — to fill the shelves, take inventory, organize displays of canned beans or help a customer locate the vanilla extract. In the latest episode of On the Job, we spent the day with Amy O’Rourke at Stew Leonard’s — a grocery chain in the Northeast that goes out of its way to engage and entertain shoppers. Her goal as assistant seafood manager is not only to ensure that customers can find the freshest clams, shrimp and salmon, but also to make a job that can feel invisible, visible. She accomplishes that with an abundance of energy, an uncannily outgoing personality and occasionally, a lobster suit.","{'main': 'How to Serve 35,000 Grocery Shoppers a Week? With a Smile and a Lobster Suit.', 'kicker': 'On the Job', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Supermarkets and Grocery Stores', ""Stew Leonard's"", 'Seafood']",2023-12-16T01:47:07+0000,article,Food
"A lifelong academic, she stood apart in her ability to communicate her insights about the country to nonacademic readers.","In November 1974, a small group of American college presidents spent three weeks traveling through China, visiting universities, communes, factories and even the office of Vice Premier Deng Xiaoping, who was still four years away from taking over as Communist Party leader.","{'main': 'Merle Goldman, a Leading Expert on Communist China, Dies at 92', 'kicker': None, 'content_kicker': None, 'print_headline': 'Merle Goldman, 92, a Leading Expert On Communist China Since the 1970s', 'name': None, 'seo': None, 'sub': None}","['Goldman, Merle', 'Deaths (Obituaries)', 'China', 'United States International Relations', 'Boston University', 'Harvard University', 'Colleges and Universities', 'Writing and Writers', 'Books and Literature']",2023-12-16T01:52:55+0000,article,World
"Join the crowd for this laid-back, fun-loving Garrett Chalfin puzzle.","SATURDAY PUZZLE — This is a funny, funny crossword from Garrett Chalfin: first themeless, first Saturday, and fifth Times puzzle overall.  There’s a bonus column, which apparently enables the extravagant stairstep of eight eight-letter entries through the middle of the puzzle (according to its constructor notes, below). I also noted the scarcity of “glue” here — less nondescript fill makes a puzzle more interesting but often a lot tougher, especially if you’re not quite on the right wavelength. This is one of those puzzles that tests how open your mind is rather than what arcane facts are in it, so don’t feel frustrated if you’re misdirected a few times (I certainly was!). You’ll get into the swing of things.","{'main': 'Companies', 'kicker': 'Wordplay, The CROSSWORD COLUMN', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Crossword Puzzles', 'Chalfin, Garrett (Crossword Constructor)']",2023-12-16T03:00:06+0000,article,Crosswords & Games
"Mr. Jones proposed paying the families a combined total of at least $5.5 million annually for a decade, while the families submitted a competing plan that would liquidate his Infowars empire.","The conspiracy theorist Alex Jones proposed paying Sandy Hook families who won more than $1 billion in damages against him last year a combined total of at least $5.5 million annually over a decade, while the families aim to liquidate his Infowars media empire, according to competing plans filed late Friday.","{'main': 'Alex Jones and Sandy Hook Families Enter Final Stretch in Bankruptcy Fight', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Jones, Alex (1974- )', 'Infowars', 'Suits and Litigation (Civil)', 'Right-Wing Extremism and Alt-Right', 'Compensation for Damages (Law)', 'Newtown, Conn, Shooting (2012)', 'Conspiracy Theories', 'Libel and Slander', 'Bankruptcies']",2023-12-16T03:36:26+0000,article,U.S.
"Quotation of the Day for Saturday, December 16, 2023.",“He’s the don now.”,"{'main': 'Quotation of the Day: ‘Passing Paisan’ Wows Jersey. You Got a Problem With That?', 'kicker': None, 'content_kicker': None, 'print_headline': 'Quote of the Day', 'name': None, 'seo': None, 'sub': None}",[],2023-12-16T05:00:01+0000,article,Corrections
"It all started when a 70-year-old fish market stall owner nicknamed “Booghy” was grooving in public, in violation of Iranian law.","A new form of protest against the government is rocking Iran: a viral dance craze set to an upbeat folk song where crowds clap and chant the rhythmic chorus, “Oh, oh, oh, oh.”","{'main': 'A Viral Dance and ‘Happiness Campaign’ Frustrates Iran’s Clerics', 'kicker': None, 'content_kicker': None, 'print_headline': 'In Iran, It’s Not Just a Song and Dance. It’s a Nationwide Protest.', 'name': None, 'seo': None, 'sub': None}","['Iran', 'Dancing', 'Demonstrations, Protests and Riots', 'Social Media', 'Islamic Revolutionary Guards Corps']",2023-12-16T05:00:03+0000,article,World
