video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified
7280779115760733482,2023-09-20T01:41:38,321,US,2206,150,59,19500,#stitch with @hasty some of you probably pronounce it like gly-scor  @Tan | failedviner  @Tan | failedviner #pokemon #videogames #smogon #vgc #anime #pokemonscarletviolet #nintendo #gamefreak #language #linguistics #english #lingtok #grammar #syntax #gamer ,False,,failedviner,Tan | failedviner,,,,,,False
7338804441702862111,2024-02-23T09:29:40,8,US,20600,96,329,816800,#CapCut @⚜️inxky⚜️ #fyp #viral #template #capcut #edit ,False,,capcuttemplatesthatifind,findingtemplatesforyou,,,,,,False
7281173547069001006,2023-09-21T03:12:16,12,GB,23,0,0,483,,False,,.junonia,natalie,,,,,,False
