abstract,lead_paragraph,headline,keywords,pub_date,document_type,section_name
"At CPAC, some Trump supporters embrace early voting and other tactics they long decried.","For a lot of his most loyal supporters, Donald Trump isn’t just the former president or even the potential next president. He is, in their view, the true president — because many of them believe the 2020 election was stolen.","{'main': 'MAGA Thinks the Game Is Rigged. Will They Play?', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Politics and Government', 'Presidential Election of 2024', 'Biden, Joseph R Jr', 'Trump, Donald J', 'Conservative Political Action Conference', 'Make America Great Again (Movie)', 'Lindell, Mike', 'Trump, Lara (1982- )']",2024-02-29T10:05:12+0000,article,Podcasts
A Legal Aid Society analysis found that New York City paid nearly $115 million in settlements last year alone.,"New York City has paid more than $500 million in police misconduct settlements over the past six years, including nearly $115 million in 2023, according to an analysis of city data released by the Legal Aid Society on Thursday.","{'main': 'N.Y.P.D. Misconduct Settlements Cost $500 Million Over 6 Years', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Police Brutality, Misconduct and Shootings', 'Compensation for Damages (Law)', 'Suits and Litigation (Civil)', 'False Arrests, Convictions and Imprisonments', 'Police', 'Black Lives Matter Movement', 'George Floyd Protests (2020)', 'Civilian Complaint Review Board', 'Legal Aid Society', 'Police Benevolent Assn', 'New York City']",2024-02-29T10:05:18+0000,article,New York
Its decision that embryos are people offers a warning of the future toward which America may be heading.,"I never thought I’d be grateful to the Alabama Supreme Court for anything, but now I am. With its decision deeming frozen embryos to be children under state law, that all-Republican court has done the impossible. It has awakened the American public, finally, to the peril of the theocratic future toward which the country has been hurtling.","{'main': 'Let’s Thank the Alabama Supreme Court', 'kicker': 'Guest Essay', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Abortion', 'United States Politics and Government', 'In Vitro Fertilization', 'Pregnancy and Childbirth', 'Women and Girls', 'Religion and Belief', 'Embryos (Human)', 'Infertility']",2024-02-29T10:05:21+0000,article,Opinion
"For his first home purchase, a resourceful renter stockpiled a down payment and looked for the ideal spot to invest it.","For his first home purchase, a resourceful renter stockpiled a down payment and looked for the ideal spot to invest it.","{'main': 'He Tested His $450,000 Budget All Over New York: Would It Be Williamsburg, Hell’s Kitchen or the South Bronx?', 'kicker': 'The Hunt', 'content_kicker': None, 'print_headline': 'Testing His $450,000 Budget All Over New York City', 'name': None, 'seo': None, 'sub': None}","['Real Estate and Housing (Residential)', 'Content Type: Personal Profile', 'Brooklyn (NYC)', ""Hell's Kitchen (Manhattan, NY)"", 'Grand Concourse (Bronx, NY)', 'South Williamsburg (Brooklyn, NY)']",2024-02-29T10:05:26+0000,multimedia,Real Estate
"Star-led titles including Jerry Seinfeld’s animated feature, a James Brown biopic and a Steve Martin-Meryl Streep rom-com are leaving the streaming service. Watch them while you can.",There’s a fascinatingly wide array of big titles leaving Netflix in the United States in March — everything from kiddie cartoons to star-heavy dramas to action extravaganzas. (Dates indicate the final day a title is available.),"{'main': 'Stream These 8 Titles Before They Leave Netflix in March', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Netflix Inc', 'Movies', 'Television']",2024-02-29T10:05:31+0000,article,Movies
"After leaving Venezuela, he entered the U.S. through Texas and stopped in New York before living in Georgia.","Jose Antonio Ibarra, the man charged with the killing of a nursing student on the University of Georgia campus, migrated from Venezuela, was arrested when he crossed the border illegally near El Paso, Texas, in September 2022 and made a detour to New York. ","{'main': 'For Suspect in U. of Georgia Killing, an Obscure Trail Across States', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Colleges and Universities', 'Immigration and Emigration', 'Illegal Immigration', 'Murders, Attempted Murders and Homicides', 'VENEZUELAN-AMERICANS', 'University of Georgia', 'Athens (Ga)', 'Georgia', 'New York City', 'Venezuela']",2024-02-29T10:05:37+0000,article,U.S.
"The president ordered an investigation into auto technology that could track U.S. drivers, part of a broader effort to stop E.V. and other smart-car imports from China.","President Biden took steps on Thursday toward blocking internet-connected Chinese cars and trucks from entry to the American auto market, including electric vehicles, saying they posed risks to national security because their operating systems could send sensitive information to Beijing.","{'main': 'Biden Calls Chinese Electric Vehicles a Security Threat', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Electric and Hybrid Vehicles', 'Biden, Joseph R Jr', 'Raimondo, Gina M', 'Commerce Department', 'United States Politics and Government', 'American Jobs Plan (2021)', 'Brainard, Lael', 'Software', 'Espionage and Intelligence Services']",2024-02-29T10:05:38+0000,article,U.S.
"Illegal crossings have dropped in the last month, but the migrant crisis still defines life on the border, where many are skeptical that Biden or Trump can help.","Helen Ramajo, 11 years old, reached the U.S.-Mexico border before the American presidents did.","{'main': 'On the Arizona Border, Even a Slow Day Is Busy', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Customs and Border Protection (US)', 'Arizona', 'Trump, Donald J', 'Biden, Joseph R Jr', 'Migrants (Environmental)', 'Border Patrol (US)', 'Texas']",2024-02-29T10:05:54+0000,article,U.S.
The Transportation Department said the proposed regulations would make it easier to hold airlines accountable for mishandling passengers’ wheelchairs.,"The Biden administration announced on Thursday that it was proposing new regulations for how airlines must treat passengers in wheelchairs, an effort aimed at improving air travel for people with disabilities.","{'main': 'U.S. Proposes New Rules to Ease Flying for Travelers in Wheelchairs', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['AIRLINES AND AIRPLANES', 'Disabilities', 'Discrimination', 'Wheelchairs', 'Regulation and Deregulation of Industry', 'United States Politics and Government', 'Buttigieg, Pete (1982- )', 'Transportation Department (US)', 'Biden, Joseph R Jr']",2024-02-29T10:06:51+0000,article,U.S.
The official toll of the war is staggering — roughly one person killed for every 73 Palestinians in Gaza — though experts say it is likely an undercount.,"The death toll in Gaza passed a somber milestone on Thursday as the local health ministry reported that more than 30,000 people had been killed in the war since Oct. 7.","{'main': 'Death Toll in Gaza Passes 30,000', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Israel-Gaza War (2023- )', 'War and Armed Conflicts', 'Civilian Casualties', 'Israel', 'Palestinians', 'Gaza Strip']",2024-02-29T10:21:49+0000,article,World
