abstract,lead_paragraph,headline,keywords,pub_date,document_type,section_name
"Bond prices are up. Nobody knows why, but it’s good news.",It’s been a strange few days on the Donald Trump front: He said something about himself that I actually believe and something about the economy that’s mostly true.,"{'main': 'A Christmas Gift From the Bond Market', 'kicker': 'Paul Krugman', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['United States Economy', 'Stocks and Bonds', 'Inflation (Economics)', 'Interest Rates', 'Mortgages']",2023-12-22T00:00:08+0000,article,Opinion
"Some lawmakers are likely to oppose the move, but officials said the Biden administration has noted the kingdom’s de facto cease-fire with the Houthi militia in Yemen.","The Biden administration is preparing to relax restrictions on some weapons sales to Saudi Arabia, U.S. officials said on Thursday, crediting the kingdom’s peace talks with a militia in Yemen for hastening an easing of the constraints.","{'main': 'U.S. Prepares to Lift Ban on Sales of Offensive Weapons to Saudi Arabia', 'kicker': None, 'content_kicker': None, 'print_headline': 'U.S. Prepares To Relax Rules On Arms Sales To the Saudis', 'name': None, 'seo': None, 'sub': None}","['United States Politics and Government', 'United States International Relations', 'War Crimes, Genocide and Crimes Against Humanity', 'Civilian Casualties', 'Peace Process', 'Embargoes and Sanctions', 'Mohammed bin Salman (1985- )', 'Biden, Joseph R Jr', 'Houthis', 'Senate Committee on Foreign Relations', 'Red Sea', 'Saudi Arabia', 'Israel', 'Gaza Strip', 'Yemen', 'Arms Trade']",2023-12-22T00:24:41+0000,article,U.S.
"The successful petition is one of the few recent reminders of the fallout from the killing of Mr. Khashoggi, a Washington Post columnist.","The widow of Jamal Khashoggi, the Washington Post columnist killed by Saudi operatives at the kingdom’s consulate in Istanbul in 2018, was granted political asylum late last month, more than three years after she fled to the United States.","{'main': 'Widow of Jamal Khashoggi Is Granted Political Asylum in the U.S.', 'kicker': None, 'content_kicker': None, 'print_headline': 'Wife of Journalist Killed by Saudi Operatives Is Granted Asylum in the U.S.', 'name': None, 'seo': None, 'sub': None}","['Khashoggi, Jamal', 'Khashoggi, Hanan Elatr', 'Asylum, Right of', 'Assassinations and Attempted Assassinations', 'United States Politics and Government', 'United States International Relations', 'United Arab Emirates', 'Saudi Arabia', 'News and News Media', 'Freedom of the Press', 'Washington Post']",2023-12-22T00:29:29+0000,article,U.S.
"The officers were charged over the 2020 death of Manuel Ellis, who pleaded “I can’t breathe” after police punched and restrained him.","A jury found three Tacoma police officers not guilty on Thursday of all criminal charges in the death of Manuel “Manny” Ellis, a Black man who died in police custody in 2020 after pleading that he could not breathe.","{'main': '3 Tacoma Police Officers Cleared in Death of a Black Man', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Police Brutality, Misconduct and Shootings', 'Ellis, Manuel (d 2020)', 'Floyd, George (d 2020)', 'Black People', 'Blacks']",2023-12-22T01:04:18+0000,article,U.S.
The company that operates Pornhub and other adult websites has agreed to pay damages to women who said pornographic videos of them were posted online without their consent.,"The company that operates Pornhub and other adult websites acknowledged in federal court in Brooklyn on Thursday that it had profited for years from pornographic content that depicted sex trafficking victims, according to federal prosecutors.","{'main': 'Pornhub’s Parent Company Admits to Profiting From Sex Trafficking', 'kicker': None, 'content_kicker': None, 'print_headline': 'Adult Website Agrees to Pay $1.8 Million To Its Victims', 'name': None, 'seo': None, 'sub': None}","['Compensation for Damages (Law)', 'Pornhub', 'Pornography', 'Sex Crimes', 'Women and Girls', 'Human Trafficking', 'MindGeek Sarl', 'California', 'Video Recordings, Downloads and Streaming']",2023-12-22T01:35:18+0000,article,New York
"Recent, growing revelations about past instances of plagiarism by Harvard’s president make it untenable for her to remain in office.","Harvard’s president, Claudine Gay, should resign.","{'main': 'Why Claudine Gay Should Go', 'kicker': 'John McWhorter', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Gay, Claudine', 'Harvard University', 'Plagiarism', 'Colleges and Universities', 'Black People', 'Blacks', 'Discrimination', 'Race and Ethnicity']",2023-12-22T01:48:15+0000,article,Opinion
"The mother of the boy, who is Black and lives in Mississippi, has refused to sign a probation agreement because its conditions are too harsh, the family’s lawyer said.","The mother of a 10-year-old Mississippi boy who was arrested after urinating behind her car is refusing to sign a probation agreement because the terms that were set are of a severity typically reserved for adults, the family’s lawyer said Thursday.","{'main': '10-Year-Old Arrested for Public Urination Was Treated Like an Adult Criminal, Lawyer Says', 'kicker': None, 'content_kicker': None, 'print_headline': 'Mother of Boy Police Took In For Urination Fights Charge', 'name': None, 'seo': None, 'sub': None}","['Police', 'Black People', 'Blacks', 'Children and Childhood', 'False Arrests, Convictions and Imprisonments', 'Juvenile Delinquency', 'Senatobia (Miss)', 'Discrimination', 'Suits and Litigation (Civil)']",2023-12-22T01:56:10+0000,article,U.S.
Additional examples of insufficient citation in the work of the university’s president has strengthened critics and strained some supporters.,"After weeks of tumult at Harvard over the university’s response to the Israel-Hamas war and the leadership of its president, Claudine Gay, there was no shortage of interest in a faculty forum with Dr. Gay this week.","{'main': 'Debate Over Plagiarism Allegations Against Claudine Gay Adds to Pressures at Harvard', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Colleges and Universities', 'Harvard University', 'Gay, Claudine', 'Plagiarism', 'Israel-Gaza War (2023- )', 'Anti-Semitism', 'Demonstrations, Protests and Riots']",2023-12-22T02:25:41+0000,article,U.S.
Hang on tight. Brooke Husic and Brendan Emmett Quigley take us on a roller-coaster ride.,Jump to: Tricky Clues,"{'main': 'Little Bit of Make-Up', 'kicker': 'wordplay, the crossword column', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Crossword Puzzles', 'Games']",2023-12-22T03:00:08+0000,article,Crosswords & Games
Michael Lieberman enters the variety fray with a sweet and challenging puzzle.,"PUNS AND ANAGRAMS — This is the seventh and last Puns and Anagrams puzzle of 2023, and it’s another great one (do we ever get a subpar PandA? I don’t believe so).","{'main': 'Variety: Puns and Anagrams', 'kicker': 'Sunday Variety Column', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Lieberman, Michael (Crossword Constructor)']",2023-12-22T03:02:01+0000,article,Crosswords & Games
