abstract,lead_paragraph,headline,keywords,pub_date,document_type,section_name
"Why, exactly, do so many Americans admire this guy?","Did Donald Trump just say that he’s hoping for an economic crash? Not exactly. But what he did say was arguably even worse, especially once you put it in context.","{'main': 'Trump Dreams of Economic Disaster', 'kicker': 'Paul Krugman', 'content_kicker': None, 'print_headline': 'Trump Dreams of Economic Disaster', 'name': None, 'seo': None, 'sub': None}","['Stocks and Bonds', 'Presidential Election of 2024', 'Presidential Election of 2020', 'Polls and Public Opinion', 'Federal Reserve System', 'Hoover, Herbert Clark', 'United States Economy', 'Oil (Petroleum) and Gasoline', 'Trump, Donald J', 'Biden, Joseph R Jr']",2024-01-12T00:00:11+0000,article,Opinion
The case involves eBay employees trying to intimidate a Massachusetts couple who write and produce an e-commerce newsletter. The company will pay a criminal penalty of $3 million.,"The Justice Department charged eBay on Thursday with stalking, witness tampering and obstruction of justice in a rare criminal case against a well-known Silicon Valley company.","{'main': 'U.S. Criminally Charges EBay in Cyberstalking Case', 'kicker': None, 'content_kicker': None, 'print_headline': 'In a Rare Move, the Justice Department Charges eBay in a Cyberstalking Case', 'name': None, 'seo': None, 'sub': None}","['eBay Inc', 'Computers and the Internet', 'Cyberharassment', 'Threats and Threatening Messages', 'Stalking (Crime)', 'Deferred Prosecution Agreements', 'Justice Department', 'Baugh, James', 'Wenig, Devin N']",2024-01-12T00:03:14+0000,article,Technology
See detailed maps of the latest forecast for freezing temperatures in the United States.,See detailed maps of the latest forecast for freezing temperatures in the United States.,"{'main': 'Tracking Freezing Temperatures in the U.S.', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Wind', 'Weather', 'Cold and Cold Spells', 'FROSTBITE', 'States (US)', 'United States']",2024-01-12T00:10:25+0000,multimedia,U.S.
Accusations involving her relationship with the lead prosecutor she hired are seen as unlikely to derail the case but could cause serious distractions.,"Nearly three years after she began investigating former President Donald J. Trump and his allies, Fani T. Willis is facing the biggest test of her handling of the landmark election interference case.","{'main': 'Atlanta Prosecutor Faces Upheaval in Trump Inquiry', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Georgia Criminal Case Against Trump (2020 Election)', 'Willis, Fani T', 'Conflicts of Interest', 'Presidential Election of 2024', 'Ethics and Official Misconduct', 'Legal Profession', 'Roman, Mike (1972- )', 'Trump, Donald J', 'Wade, Nathan J', 'Fulton County (Ga)', 'District Attorneys']",2024-01-12T00:13:10+0000,article,U.S.
The Iranian-backed militia has launched dozens of attacks on commercial ships in the Red Sea since the war between Israel and Hamas started.,"Since mid-November, the Houthis, the de facto government in northern Yemen that is backed by Iran, have launched dozens of attacks on ships sailing through the Red Sea and the Suez Canal, a crucial shipping route through which 12 percent of world trade passes.","{'main': 'Who Are the Houthis and Why Is the U.S. Attacking Them?', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Houthis', 'Red Sea', 'Israel', 'Blinken, Antony J', 'United States', 'United States Defense and Military Forces', 'Israel-Gaza War (2023- )']",2024-01-12T00:28:58+0000,article,World
Dmitry Rybolovlev took the stand to accuse Sotheby’s of aiding a Swiss art dealer who he says tricked him into overspending by tens of millions on art.,"As the owner of Monaco’s beloved soccer team, Dmitry Rybolovlev, who is often photographed at matches, has hardly kept a low profile. Yet his appearance on Thursday when he took the witness stand in Manhattan was still rare: a Russian oligarch seeking justice in an American courtroom.","{'main': 'Russian Oligarch Who Says He Was Cheated Testifies at Art Fraud Trial', 'kicker': None, 'content_kicker': None, 'print_headline': 'Russian Oligarch Who Says He Was Cheated Testifies at Art Fraud Trial', 'name': None, 'seo': None, 'sub': None}","['Auctions', 'Art', 'High Net Worth Individuals', 'Frauds and Swindling', 'Monaco (Soccer Team)', ""Sotheby's"", 'Bouvier, Yves', 'Rybolovlev, Dmitry Evgenevich']",2024-01-12T00:46:20+0000,article,Arts
"The viral video shows the former president, in starkly religious, almost messianic tones, as the vessel of a higher power sent to save the nation.",A viral video praising former President Donald J. Trump has offended a key Iowa constituency in the lead-up to next week’s critical Iowa caucuses: faith leaders.,"{'main': 'Iowa Pastors Say Video Depicting Trump as Godly Is ‘Very Concerning’', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Trump, Donald J', 'Presidential Election of 2024', 'Christians and Christianity', 'Religion and Belief', 'Iowa']",2024-01-12T00:50:19+0000,article,U.S.
The president directed U.S. military forces to strike a number of targets used by the Houthi militia after attacks on ships in the Red Sea.,"Here is President Biden’s full statement on the strikes conducted against the Houthi militia in Yemen by the United States and allies, as released by the White House on Thursday:","{'main': 'Read Biden’s Full Statement on the Strikes in Yemen', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['United States Defense and Military Forces', 'United States Politics and Government', 'War and Armed Conflicts', 'Houthis', 'Biden, Joseph R Jr', 'Yemen', 'Red Sea']",2024-01-12T00:56:40+0000,article,U.S.
Kaley Cuoco plays a woman balancing a life of domesticity with her career as an assassin in this spineless comedy thriller.,"Kaley Cuoco may be our newest caper girl Friday, but even her flame of charisma tapers off early in “Role Play,” directed by Thomas Vincent. Calling on the same knack for high jinks that she perfected on the Max series “The Flight Attendant,” the onetime sitcom actress plays Emma, a suburban mom with a secret: she is actually an internationally-wanted assassin.","{'main': '‘Role Play’ Review: Mommy by Day, Killer by Night', 'kicker': None, 'content_kicker': None, 'print_headline': 'Role Play', 'name': None, 'seo': None, 'sub': None}","['Movies', 'Cuoco, Kaley', 'Oyelowo, David', 'Role Play (Movie)', 'Vincent, Thomas (1964- )']",2024-01-12T01:00:09+0000,article,Movies
Hundreds of events over the course of the year reveal distinct campaigning styles among the top three Republican presidential candidates.,Hundreds of events over the course of the year reveal distinct campaigning styles among the top three Republican presidential candidates.,"{'main': 'Three Republican Candidates, Three Very Different Styles', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Trump, Donald J', 'Haley, Nikki R', 'DeSantis, Ron', 'Elections', 'Primaries and Caucuses', 'Republican National Convention', 'Republican National Committee']",2024-01-12T01:59:04+0000,multimedia,U.S.
