abstract,lead_paragraph,headline,keywords,pub_date,document_type,section_name
"On the deadliest day for Israelis since the ground invasion against Hamas began, about 20 soldiers were killed as they prepared to level buildings near the border.","The Israeli military suffered the deadliest day of its ground invasion of the Gaza Strip on Monday when 24 soldiers were killed, about 20 of them in an explosion as they were preparing to level buildings to help create a buffer zone with the Palestinian enclave, Israeli officials said.","{'main': 'Israeli Soldiers Clearing Buffer Zone in Gaza Die in Blast', 'kicker': None, 'content_kicker': None, 'print_headline': 'Explosion Kills 20 Israeli Soldiers Creating Buffer Zone at Gaza Border', 'name': None, 'seo': None, 'sub': None}","['Israel-Gaza War (2023- )', 'Defense and Military Forces', 'Deaths (Fatalities)', 'Demolition', 'Border Barriers', 'Gaza Strip', 'Israel']",2024-01-24T00:00:17+0000,article,World
"Hamas could have devoted its money and time to building a future for its people, not a fortress for itself.","Ever since Israel withdrew its soldiers and settlers from Gaza in 2005, critics have accused it of blockading and immiserating the territory — turning it, as they say, into an open-air prison.","{'main': 'The Meaning of Gaza’s Tunnels', 'kicker': 'Bret Stephens', 'content_kicker': None, 'print_headline': 'The Meaning of Gaza’s Tunnels', 'name': None, 'seo': None, 'sub': None}","['Israel-Gaza War (2023- )', 'Bridges and Tunnels', 'Defense and Military Forces', 'Kidnapping and Hostages', 'Palestinians', 'Hamas', 'Israel', 'Gaza Strip']",2024-01-24T00:00:17+0000,article,Opinion
The government said it will appeal the decision that came two years after the start of a trucker protest that paralyzed the downtown of Canada’s capital.,"A Canadian court found that Prime Minister Justin Trudeau’s use of the country’s Emergencies Act to end a truck convoy protest that had paralyzed the capital, Ottawa, two years ago was an unjustified infringement of civil rights, including the protection against unreasonable search and seizure, and, in some instances, the freedom of expression as well.","{'main': 'Court Finds Trudeau Overreached by Using Emergency Law to End Blockade', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Decisions and Verdicts', 'Demonstrations, Protests and Riots', 'Freedom of Speech and Expression', 'Civil Rights and Liberties', 'Coronavirus (2019-nCoV)', 'Trudeau, Justin', 'Poilievre, Pierre', 'Canada']",2024-01-24T00:01:57+0000,article,World
"The event was interrupted by at least 10 people protesting the war in Gaza, but the president focused on calling attention to restrictive abortion laws.","President Biden headlined a rally in support of abortion rights on Tuesday, trying to focus on an issue that has galvanized his supporters even as he was interrupted every few minutes by at least 10 people protesting the war in Gaza, an issue that has just as quickly divided Democrats.","{'main': 'Biden, Brushing Off Gaza Protesters at Rally, Calls for Restoring Abortion Rights', 'kicker': None, 'content_kicker': None, 'print_headline': 'Amid Gaza Protesters,  Biden Raises His Voice For Right to Abortion', 'name': None, 'seo': None, 'sub': None}","['Demonstrations, Protests and Riots', 'Abortion', 'United States Politics and Government', 'Presidential Election of 2024', 'Women and Girls', ""Women's Rights"", 'Israel-Gaza War (2023- )', 'Roe v Wade (Supreme Court Decision)', 'Democratic Party', 'Biden, Joseph R Jr', 'Harris, Kamala D']",2024-01-24T00:10:21+0000,article,U.S.
"The newly christened Icon of the Seas is filled with energy-efficient technology. But some climate experts say the biggest challenge with a ship that can accommodate nearly 8,000 people is its size.","On Tuesday, in a ceremony that, of course, involved a soccer ball, the Argentine soccer superstar Lionel Messi pressed a button and a bottle of champagne smashed against the bow of Icon of the Seas, christening the world’s largest cruise ship at its home port of Miami. Like an A-list celebrity stepping onto the red carpet, the arrival of Royal Caribbean’s 250,800-ton ship has captured the world’s attention, with some marveling over its cutting-edge features, like the largest water park at sea, while others criticize the gigantic ship’s potential to damage the environment.","{'main': 'Can the World’s Largest Cruise Ship Really Be Climate-Friendly?', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Cruises', 'Energy Efficiency', 'Greenhouse Gas Emissions', 'Carbon Dioxide', 'Travel and Vacations', 'Royal Caribbean Cruises Ltd', 'Sustainable Living']",2024-01-24T00:13:27+0000,article,Travel
"This Georgian region lost a collection that is considered a national treasure, but only Russia and a few allies recognize it as a nation at all.","A fire in Abkhazia, a Russian-backed breakaway region of Georgia, destroyed thousands of paintings early Sunday morning, devastating a collection that locals had cherished as a national treasure — albeit of a country only recognized as such by Russia and some of its allies, including Syria and Venezuela.","{'main': 'Fire Rips Through Abkhazia Gallery, Destroying Nearly 4,000 Artworks', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Fires and Firefighters', 'Art', 'Collectors and Collections', 'ABKHAZIA (GEORGIAN REPUBLIC)']",2024-01-24T00:31:18+0000,article,Arts
Researchers completed genomic research on carcasses of the largest animals that have ever lived to understand North Atlantic whale populations.,"In 2014, nine blue whales died after being trapped by ice near Newfoundland, Canada. Two of their carcasses washed ashore and began bloating as they decomposed, causing worries of an imminent explosion and possibly inspiring a sketch on “Saturday Night Live” that ended with Charlize Theron covered in whale guts. More recently, the colossal corpses of these unlucky mammals have made an important contribution to science.","{'main': 'Blue Whale Genes Reveal Less Inbreeding, More Interbreeding Than Expected', 'kicker': 'Trilobites', 'content_kicker': None, 'print_headline': 'Demographic Warning Signs: From the Inside of a Whale, Something Hard to Digest', 'name': None, 'seo': None, 'sub': None}","['your-feed-science', 'Whales and Whaling', 'Genetics and Heredity', 'Animal Behavior', 'Newfoundland (Canada)', 'Animals', 'Fish and Other Marine Life', 'Reproduction (Biological)', 'Atlantic Ocean']",2024-01-24T00:44:54+0000,article,Science
The “door plug” that blew off an Alaska Airlines plane this month most likely had manufacturing or installation flaws.,The “door plug” that blew off an Alaska Airlines plane this month most likely had manufacturing or installation flaws.,"{'main': 'How Did a Boeing Jet End Up With a Big Hole?', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['AIRLINES AND AIRPLANES', 'Aviation Accidents, Safety and Disasters', 'Boeing 737 Max Groundings and Safety Concerns (2019)', 'ALASKA AIRLINES', 'Boeing Company', 'National Transportation Safety Board', 'Federal Aviation Administration', 'Spirit AeroSystems Inc']",2024-01-24T01:00:43+0000,multimedia,Business Day
"The comfortable, though symbolic, victory comes as President Biden turns his focus to the general election.",President Biden’s decisive victory in the New Hampshire Democratic presidential primary provided him with a dose of good political news amid a season of Democratic anxiety about his campaign.,"{'main': 'Biden Wasn’t on the Ballot in New Hampshire. He Won Anyway.', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Biden, Joseph R Jr', 'Presidential Election of 2024', 'Democratic Party', 'New Hampshire', 'Elections', 'Phillips, Dean B', 'Trump, Donald J']",2024-01-24T01:10:07+0000,article,U.S.
"Greta Gerwig and Margot Robbie missed Academy Award nominations for director and actress, respectively — a fact that was a little too on the nose for some.","When the 2024 Oscar nominations were announced this morning, the snubs of the two most prominent women involved in “Barbie” — the director, Greta Gerwig, and the lead actress, Margot Robbie — became the breakout story.","{'main': 'For ‘Barbie’ Fans Online, a Bitterly Ironic Oscar Snub', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Academy Awards (Oscars)', 'Movies', 'Records and Achievements', 'Toys', 'Barbie (Doll)', 'Awards, Decorations and Honors', 'Golden Globes (Awards)', 'Fans (Persons)', 'Women and Girls', 'Gerwig, Greta', 'Robbie, Margot']",2024-01-24T01:12:11+0000,article,Style
