abstract,lead_paragraph,headline,keywords,pub_date,document_type,section_name
"Quotation of the Day for Thursday, March 14, 2024.","“During a war, the difference between life and death can be one phone call.”","{'main': 'Quotation of the Day: Risking Their Lives to Restore a Phone Network', 'kicker': None, 'content_kicker': None, 'print_headline': 'Quote of the Day', 'name': None, 'seo': None, 'sub': None}",[],2024-03-14T02:18:11+0000,article,Corrections
Several communities in the Valparaíso region were being evacuated. Fires along the coast killed more than 100 people last month.,"The authorities were battling another round of dangerous wildfires along Chile’s Pacific Coast early Thursday morning, several weeks after blazes there killed more than 100 people.","{'main': 'New Wildfires Threaten Chile’s Pacific Coast', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Wildfires', 'Fires and Firefighters', 'Evacuations and Evacuees', 'Boric, Gabriel', 'Chile', 'Valparaiso (Chile)', 'Vina del Mar (Chile)']",2024-03-14T02:34:10+0000,article,World
"Corrections that appeared in print on Thursday, March 14, 2024.","An article on Saturday about a proposed national security law in Hong Kong misstated the number of days a person suspected of endangering national security could be detained, without charge, under proposed legislation. It is as many as 16 days, not as many as 14 days.","{'main': 'Corrections: March 14, 2024', 'kicker': None, 'content_kicker': None, 'print_headline': 'Corrections', 'name': None, 'seo': None, 'sub': None}",[],2024-03-14T03:06:18+0000,article,Corrections
"Fire crews were battling three blazes overnight, the Chilean authorities said.","Fire crews were battling three blazes overnight, the Chilean authorities said.","{'main': 'Chile Fires Prompt Evacuations', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Fires and Firefighters', 'Evacuations and Evacuees', 'Chile', 'Valparaiso (Chile)']",2024-03-14T03:39:54+0000,multimedia,World
"City officials said that the new census estimates did not fully account for the growing number of migrants, which would have resulted in a minimal drop being reported.","New York City’s population declined again last year, according to new census estimates. But city officials said that those figures did not fully account for the growing number of migrants, which would have resulted in a minimal drop being reported.","{'main': 'New York City’s Population Shrinks by 78,000, According to Census Data', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Census', 'Population', 'New York City', 'Citizens Budget Commission', 'City Planning Department (NYC)', 'Census Bureau']",2024-03-14T04:01:07+0000,article,New York
"“The situation totally changed now, because the gangs are now working together,” a Haitian consultant said. Their unity forced the prime minister to resign.","Even as gangs terrorized Haiti, kidnapped civilians en masse and killed at will, the country’s embattled prime minister held on to power for years.","{'main': 'Why Everything Changed in Haiti: The Gangs United', 'kicker': 'News Analysis', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Haiti', 'Port-au-Prince (Haiti)', 'Gangs', 'Caribbean Community (Caricom)', 'Henry, Ariel', 'Philippe, Guy (1968- )', 'International Relations', 'Politics and Government']",2024-03-14T04:01:26+0000,article,World
A new regulation aims to rid the palm oil supply chain of imports that come from former forestland. Southeast Asian countries say it threatens livelihoods.,"The European Union’s upcoming ban on imports linked to deforestation has been hailed as a “gold standard” in climate policy: a meaningful step to protect the world’s forests, which help remove planet-killing greenhouse gases from the atmosphere.","{'main': 'Can Europe Save Forests Without Killing Jobs in Malaysia?', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Oils and Fats', 'Forests and Forestry', 'International Relations', 'Conservation of Resources', 'Palm Oil', 'Law and Legislation', 'Global Warming', 'International Trade and World Market', 'Sustainable Living', 'Metals and Minerals', 'Greenhouse Gas Emissions', 'Agriculture and Farming', 'Developing Countries', 'Supply Chain', 'European Commission', 'European Parliament', 'European Union', 'Unilever NV', 'Malaysia', 'Sabah (Malaysia)']",2024-03-14T04:01:41+0000,article,Business Day
The U.S. House passes a bill that could ban TikTok.,"The House passed a bill that would force ByteDance, the Chinese company that owns TikTok, to sell the popular video app or have it banned in the U.S. The legislation escalated a showdown between Beijing and Washington over control of a wide range of technologies that could affect national security, free speech and the social media industry.","{'main': 'Thursday Briefing', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",[],2024-03-14T04:02:04+0000,article,Briefing
"Business is good for snake catchers in Australia, as the period of brumation, a sort of hibernation for reptiles, is shrinking — a result of the warming earth.","The phone rings. It’s the local prison. There’s a snake in a cell. Within a few hours, snakes have also been spotted at a school, beneath a piano stored in a private garage and near a lagoon-like swimming pool at a retirement home. Customers want them gone.","{'main': 'Snakes in the Grass — and Under the Piano, by the Pool and in the Prison', 'kicker': 'Australia Dispatch', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Australia', 'Queensland (Australia)', 'Snakes', 'Reptiles', 'Global Warming']",2024-03-14T04:30:30+0000,article,World
"During an interview in 2018, Alexander called the iron lung, a machine that helped him breathe, “my friend” and “my enemy.”","During an interview in 2018, Alexander called the iron lung, a machine that helped him breathe, “my friend” and “my enemy.”","{'main': 'Paul Alexander on Living Inside an Iron Lung', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Poliomyelitis', 'Lungs', 'Dallas (Tex)']",2024-03-14T04:46:37+0000,multimedia,U.S.
